optimizer,wrapper,problem_id,dimension,best_fitness,evaluations,sweep,time_one_iteration,param_evaluation_window,param_improvement_threshold,param_pop_increase_factor
maes,threshold_reset,bbob_f001_i01_d02,2,82.47026963028806,30001,1,0.63692135,20,1e-06,2
maes,threshold_reset,bbob_f001_i02_d02,2,406.57372840856556,30001,1,0.63828833,20,1e-06,2
maes,threshold_reset,bbob_f001_i03_d02,2,-221.19311438076588,30001,1,0.62317181,20,1e-06,2
maes,threshold_reset,bbob_f001_i04_d02,2,-140.26027484658488,30001,1,0.61849519,20,1e-06,2
maes,threshold_reset,bbob_f001_i05_d02,2,-19.628244541186874,30001,1,0.63799262,20,1e-06,2
maes,threshold_reset,bbob_f001_i71_d02,2,202.4007775650848,30001,1,0.62315159,20,1e-06,2
maes,threshold_reset,bbob_f001_i72_d02,2,206.6615287182031,30001,1,0.63027349,20,1e-06,2
maes,threshold_reset,bbob_f001_i73_d02,2,-592.8546013783407,30001,1,0.63503737,20,1e-06,2
maes,threshold_reset,bbob_f001_i74_d02,2,-996.1662316594751,30001,1,0.62328831,20,1e-06,2
maes,threshold_reset,bbob_f001_i75_d02,2,-19.806939002001712,30001,1,0.62225828,20,1e-06,2
maes,threshold_reset,bbob_f001_i76_d02,2,56.6807238999997,30001,1,0.62481443,20,1e-06,2
maes,threshold_reset,bbob_f001_i77_d02,2,357.90090270047733,30001,1,0.63221825,20,1e-06,2
maes,threshold_reset,bbob_f001_i78_d02,2,-475.24852227856763,30001,1,0.63762588,20,1e-06,2
maes,threshold_reset,bbob_f001_i79_d02,2,-999.1978818632242,30001,1,0.6476095,20,1e-06,2
maes,threshold_reset,bbob_f001_i80_d02,2,-31.37425743134944,30001,1,0.63048428,20,1e-06,2
maes,threshold_reset,bbob_f002_i01_d02,2,38308.03178289379,30001,1,0.66329666,20,1e-06,2
maes,threshold_reset,bbob_f002_i02_d02,2,11783859.955010023,30001,1,0.65460464,20,1e-06,2
maes,threshold_reset,bbob_f002_i03_d02,2,50240404.413543135,30001,1,0.6464189,20,1e-06,2
maes,threshold_reset,bbob_f002_i04_d02,2,1615951.889664375,30001,1,0.64129719,20,1e-06,2
maes,threshold_reset,bbob_f002_i05_d02,2,52427576.53751655,30001,1,0.64477985,20,1e-06,2
maes,threshold_reset,bbob_f002_i71_d02,2,33921.46088773269,30001,1,0.66242083,20,1e-06,2
maes,threshold_reset,bbob_f002_i72_d02,2,5042971.014259607,30001,1,0.64605643,20,1e-06,2
maes,threshold_reset,bbob_f002_i73_d02,2,1908962.6321302978,30001,1,0.63664467,20,1e-06,2
maes,threshold_reset,bbob_f002_i74_d02,2,38977135.82028988,30001,1,0.64028345,20,1e-06,2
maes,threshold_reset,bbob_f002_i75_d02,2,2562418.758321778,30001,1,0.63181468,20,1e-06,2
maes,threshold_reset,bbob_f002_i76_d02,2,530.641941396792,30001,1,0.65198153,20,1e-06,2
maes,threshold_reset,bbob_f002_i77_d02,2,4181921.9780704468,30001,1,0.66510425,20,1e-06,2
maes,threshold_reset,bbob_f002_i78_d02,2,313823.9210186051,30001,1,0.68589099,20,1e-06,2
maes,threshold_reset,bbob_f002_i79_d02,2,79.19001714669876,30001,1,0.63840281,20,1e-06,2
maes,threshold_reset,bbob_f002_i80_d02,2,3141733.298784282,30001,1,0.63349632,20,1e-06,2
maes,threshold_reset,bbob_f003_i01_d02,2,-455.5871617843434,30001,1,0.64378997,20,1e-06,2
maes,threshold_reset,bbob_f003_i02_d02,2,83.22443661803293,30001,1,0.63861748,20,1e-06,2
maes,threshold_reset,bbob_f003_i03_d02,2,133.91400200900654,30001,1,0.6400947,20,1e-06,2
maes,threshold_reset,bbob_f003_i04_d02,2,27.162572264319472,30001,1,0.64008589,20,1e-06,2
maes,threshold_reset,bbob_f003_i05_d02,2,143.59244203519452,30001,1,0.66013139,20,1e-06,2
maes,threshold_reset,bbob_f003_i71_d02,2,-35.44822789149131,30001,1,0.65093259,20,1e-06,2
maes,threshold_reset,bbob_f003_i72_d02,2,52.238773443490835,30001,1,0.65718821,20,1e-06,2
maes,threshold_reset,bbob_f003_i73_d02,2,299.43284619851414,30001,1,0.66262342,20,1e-06,2
maes,threshold_reset,bbob_f003_i74_d02,2,-22.313805801465175,30001,1,0.64277845,20,1e-06,2
maes,threshold_reset,bbob_f003_i75_d02,2,26.295273686183762,30001,1,0.64549112,20,1e-06,2
maes,threshold_reset,bbob_f003_i76_d02,2,-532.2810129968964,30001,1,0.66402197,20,1e-06,2
maes,threshold_reset,bbob_f003_i77_d02,2,139.00567940475455,30001,1,0.65560077,20,1e-06,2
maes,threshold_reset,bbob_f003_i78_d02,2,-15.814198682018851,30001,1,0.65274623,20,1e-06,2
maes,threshold_reset,bbob_f003_i79_d02,2,170.2343780009093,30001,1,0.6567994,20,1e-06,2
maes,threshold_reset,bbob_f003_i80_d02,2,46.04312510300859,30001,1,0.6433607,20,1e-06,2
maes,threshold_reset,bbob_f004_i01_d02,2,-306.0064713392357,30001,1,0.65207758,20,1e-06,2
maes,threshold_reset,bbob_f004_i02_d02,2,87.50243825987,30001,1,0.65042244,20,1e-06,2
maes,threshold_reset,bbob_f004_i03_d02,2,119.78747122405245,30001,1,0.63649878,20,1e-06,2
maes,threshold_reset,bbob_f004_i04_d02,2,107.28576432502881,30001,1,0.65363427,20,1e-06,2
maes,threshold_reset,bbob_f004_i05_d02,2,153.68290989691664,30001,1,0.64183947,20,1e-06,2
maes,threshold_reset,bbob_f004_i71_d02,2,-11.714878284462579,30001,1,0.64994755,20,1e-06,2
maes,threshold_reset,bbob_f004_i72_d02,2,52.86431811399544,30001,1,0.65079524,20,1e-06,2
maes,threshold_reset,bbob_f004_i73_d02,2,319.5584575355791,30001,1,0.65852994,20,1e-06,2
maes,threshold_reset,bbob_f004_i74_d02,2,42.17520756767034,30001,1,0.66133787,20,1e-06,2
maes,threshold_reset,bbob_f004_i75_d02,2,-11.112310026002149,30001,1,0.65410731,20,1e-06,2
maes,threshold_reset,bbob_f004_i76_d02,2,-556.0800113137775,30001,1,0.66539315,20,1e-06,2
maes,threshold_reset,bbob_f004_i77_d02,2,152.1162311219937,30001,1,0.64857807,20,1e-06,2
maes,threshold_reset,bbob_f004_i78_d02,2,-18.64488987277494,30001,1,0.67383381,20,1e-06,2
maes,threshold_reset,bbob_f004_i79_d02,2,364.41874264879493,30001,1,0.66183199,20,1e-06,2
maes,threshold_reset,bbob_f004_i80_d02,2,109.15984939493345,30001,1,0.66425789,20,1e-06,2
maes,threshold_reset,bbob_f005_i01_d02,2,25.71812625520628,30001,1,0.64742263,20,1e-06,2
maes,threshold_reset,bbob_f005_i02_d02,2,659.2601116220093,30001,1,0.64224823,20,1e-06,2
maes,threshold_reset,bbob_f005_i03_d02,2,155.50087716345615,30001,1,0.65527611,20,1e-06,2
maes,threshold_reset,bbob_f005_i04_d02,2,961.7103515966487,30001,1,0.64366819,20,1e-06,2
maes,threshold_reset,bbob_f005_i05_d02,2,-37.45,30001,1,0.65195466,20,1e-06,2
maes,threshold_reset,bbob_f005_i71_d02,2,11.148157090517657,30001,1,0.64511397,20,1e-06,2
maes,threshold_reset,bbob_f005_i72_d02,2,-174.98122582442326,30001,1,0.63788493,20,1e-06,2
maes,threshold_reset,bbob_f005_i73_d02,2,1042.1723625224315,30001,1,0.6337993,20,1e-06,2
maes,threshold_reset,bbob_f005_i74_d02,2,-112.94259266111405,30001,1,0.62180815,20,1e-06,2
maes,threshold_reset,bbob_f005_i75_d02,2,-94.25595515341885,30001,1,0.62885662,20,1e-06,2
maes,threshold_reset,bbob_f005_i76_d02,2,134.74548531757182,30001,1,0.63042769,20,1e-06,2
maes,threshold_reset,bbob_f005_i77_d02,2,177.66836875613424,30001,1,0.64402413,20,1e-06,2
maes,threshold_reset,bbob_f005_i78_d02,2,-944.0724903322624,30001,1,0.67186286,20,1e-06,2
maes,threshold_reset,bbob_f005_i79_d02,2,inf,30001,1,0.67855366,20,1e-06,2
maes,threshold_reset,bbob_f005_i80_d02,2,3.163201111887197,30001,1,0.64939247,20,1e-06,2
maes,threshold_reset,bbob_f006_i01_d02,2,74106.27061206548,30001,1,0.65768686,20,1e-06,2
maes,threshold_reset,bbob_f006_i02_d02,2,39.57460155794287,30001,1,0.71607186,20,1e-06,2
maes,threshold_reset,bbob_f006_i03_d02,2,-975.7289233385387,30001,1,0.68153369,20,1e-06,2
maes,threshold_reset,bbob_f006_i04_d02,2,235.92717786063122,30001,1,0.65431967,20,1e-06,2
maes,threshold_reset,bbob_f006_i05_d02,2,598.8897690349955,30001,1,0.64185992,20,1e-06,2
maes,threshold_reset,bbob_f006_i71_d02,2,34618.914049715204,30001,1,0.66299128,20,1e-06,2
maes,threshold_reset,bbob_f006_i72_d02,2,148.0648775522635,30001,1,0.64118643,20,1e-06,2
maes,threshold_reset,bbob_f006_i73_d02,2,-4.065346998570391,30001,1,0.65662644,20,1e-06,2
maes,threshold_reset,bbob_f006_i74_d02,2,578.4136951860569,30001,1,0.6352406,20,1e-06,2
maes,threshold_reset,bbob_f006_i75_d02,2,196023.59391013824,30001,1,0.65966564,20,1e-06,2
maes,threshold_reset,bbob_f006_i76_d02,2,148.83993312221415,30001,1,0.66899286,20,1e-06,2
