optimizer,wrapper,problem_id,dimension,best_fitness,evaluations,sweep,time_one_iteration,param_restart_budget,param_pop_increase_factor
maes,budget_reset,bbob_f005_i72_d02,2,-226.01,30001,1,0.609375,10000,2
maes,budget_reset,bbob_f005_i73_d02,2,1047.398868486214,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f005_i74_d02,2,-156.01862183680063,30001,1,0.625,10000,2
maes,budget_reset,bbob_f005_i75_d02,2,-85.17581072596926,30001,1,0.625,10000,2
maes,budget_reset,bbob_f005_i76_d02,2,99.6911298981298,30001,1,0.6875,10000,2
maes,budget_reset,bbob_f005_i77_d02,2,149.59,30001,1,0.65625,10000,2
maes,budget_reset,bbob_f005_i78_d02,2,-938.6555234101534,30001,1,0.65625,10000,2
maes,budget_reset,bbob_f005_i79_d02,2,-4.366000331009296,30001,1,0.65625,10000,2
maes,budget_reset,bbob_f005_i80_d02,2,-40.59174142670661,30001,1,0.65625,10000,2
maes,budget_reset,bbob_f006_i01_d02,2,38.414447400076604,30001,1,0.609375,10000,2
maes,budget_reset,bbob_f006_i02_d02,2,325490.9638926923,30001,1,0.625,10000,2
maes,budget_reset,bbob_f006_i03_d02,2,-958.2827290034929,30001,1,0.65625,10000,2
maes,budget_reset,bbob_f006_i04_d02,2,145.36009073682865,30001,1,0.625,10000,2
maes,budget_reset,bbob_f006_i05_d02,2,603.3027227003616,30001,1,0.609375,10000,2
maes,budget_reset,bbob_f006_i71_d02,2,64042.65022821099,30001,1,0.625,10000,2
maes,budget_reset,bbob_f006_i72_d02,2,54.497165372009306,30001,1,0.609375,10000,2
maes,budget_reset,bbob_f006_i73_d02,2,24.541288425262632,30001,1,0.625,10000,2
maes,budget_reset,bbob_f006_i74_d02,2,60018.86518685317,30001,1,0.65625,10000,2
maes,budget_reset,bbob_f006_i75_d02,2,31.595618108008665,30001,1,0.625,10000,2
maes,budget_reset,bbob_f006_i76_d02,2,7563.125990873555,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f006_i77_d02,2,1019.835637340966,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f006_i78_d02,2,141223.20411622548,30001,1,0.65625,10000,2
maes,budget_reset,bbob_f006_i79_d02,2,632.3271038596038,30001,1,0.609375,10000,2
maes,budget_reset,bbob_f006_i80_d02,2,-106.9565712337697,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f007_i01_d02,2,94.62349805255674,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f007_i02_d02,2,39.05888671741586,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f007_i03_d02,2,3.9480726356011946,30001,1,0.625,10000,2
maes,budget_reset,bbob_f007_i04_d02,2,199.22783053172992,30001,1,0.609375,10000,2
maes,budget_reset,bbob_f007_i05_d02,2,358.98467898926856,30001,1,0.609375,10000,2
maes,budget_reset,bbob_f007_i71_d02,2,-991.6438199330682,30001,1,0.625,10000,2
maes,budget_reset,bbob_f007_i72_d02,2,201.46431537945142,30001,1,0.609375,10000,2
maes,budget_reset,bbob_f007_i73_d02,2,-160.37844110388164,30001,1,0.609375,10000,2
maes,budget_reset,bbob_f007_i74_d02,2,132.2947028678916,30001,1,0.625,10000,2
maes,budget_reset,bbob_f007_i75_d02,2,-324.0006940801908,30001,1,0.609375,10000,2
maes,budget_reset,bbob_f007_i76_d02,2,55.03666826391459,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f007_i77_d02,2,-11.062458001682797,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f007_i78_d02,2,63.879569094123454,30001,1,0.625,10000,2
maes,budget_reset,bbob_f007_i79_d02,2,798.6861803072768,30001,1,0.625,10000,2
maes,budget_reset,bbob_f007_i80_d02,2,1000.2644940882051,30001,1,0.59375,10000,2
maes,budget_reset,bbob_f008_i01_d02,2,151.31997009888133,30001,1,0.609375,10000,2
maes,budget_reset,bbob_f008_i02_d02,2,334771.08408731077,30001,1,0.65625,10000,2
maes,budget_reset,bbob_f008_i03_d02,2,99.23613404667587,30001,1,0.59375,10000,2
maes,budget_reset,bbob_f008_i04_d02,2,-46.74123731498257,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f008_i05_d02,2,3977.308353443978,30001,1,0.625,10000,2
maes,budget_reset,bbob_f008_i71_d02,2,10556.091156583865,30001,1,0.625,10000,2
maes,budget_reset,bbob_f008_i72_d02,2,3107.3991865998014,30001,1,0.625,10000,2
maes,budget_reset,bbob_f008_i73_d02,2,-22.23506576894723,30001,1,0.609375,10000,2
maes,budget_reset,bbob_f008_i74_d02,2,11.341842620488443,30001,1,0.609375,10000,2
maes,budget_reset,bbob_f008_i75_d02,2,-35.64163796896841,30001,1,0.625,10000,2
maes,budget_reset,bbob_f008_i76_d02,2,2663.465013318236,30001,1,0.609375,10000,2
maes,budget_reset,bbob_f008_i77_d02,2,-325.47224175642845,30001,1,0.625,10000,2
maes,budget_reset,bbob_f008_i78_d02,2,1000.2877538106254,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f008_i79_d02,2,946.5893758742138,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f008_i80_d02,2,-7.281541249877958,30001,1,0.625,10000,2
maes,budget_reset,bbob_f009_i01_d02,2,126.22308296875754,30001,1,0.671875,10000,2
maes,budget_reset,bbob_f009_i02_d02,2,218.567186932565,30001,1,0.625,10000,2
maes,budget_reset,bbob_f009_i03_d02,2,2975.5677958039573,30001,1,0.625,10000,2
maes,budget_reset,bbob_f009_i04_d02,2,731.411009002476,30001,1,0.625,10000,2
maes,budget_reset,bbob_f009_i05_d02,2,302.8755370852398,30001,1,0.625,10000,2
maes,budget_reset,bbob_f009_i71_d02,2,1449.4331627029496,30001,1,0.671875,10000,2
maes,budget_reset,bbob_f009_i72_d02,2,32424.4824281276,30001,1,0.625,10000,2
maes,budget_reset,bbob_f009_i73_d02,2,2348.7156186771927,30001,1,0.609375,10000,2
maes,budget_reset,bbob_f009_i74_d02,2,206.02470656595835,30001,1,0.625,10000,2
maes,budget_reset,bbob_f009_i75_d02,2,10272.56311806505,30001,1,0.625,10000,2
maes,budget_reset,bbob_f009_i76_d02,2,7.563889201598865,30001,1,0.625,10000,2
maes,budget_reset,bbob_f009_i77_d02,2,6111.753133136946,30001,1,0.609375,10000,2
maes,budget_reset,bbob_f009_i78_d02,2,443.49585068142494,30001,1,0.65625,10000,2
maes,budget_reset,bbob_f009_i79_d02,2,20642.56300856111,30001,1,0.65625,10000,2
maes,budget_reset,bbob_f009_i80_d02,2,62.07549573732763,30001,1,0.59375,10000,2
maes,budget_reset,bbob_f010_i01_d02,2,11486.138713417311,30001,1,0.625,10000,2
maes,budget_reset,bbob_f010_i02_d02,2,487.3501572864488,30001,1,0.625,10000,2
maes,budget_reset,bbob_f010_i03_d02,2,12140069.103976674,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f010_i04_d02,2,12318229.161364093,30001,1,0.625,10000,2
maes,budget_reset,bbob_f010_i05_d02,2,3165.9319573755574,30001,1,0.625,10000,2
maes,budget_reset,bbob_f010_i71_d02,2,181.1403490298302,30001,1,0.65625,10000,2
maes,budget_reset,bbob_f010_i72_d02,2,43355.763771079524,30001,1,0.65625,10000,2
maes,budget_reset,bbob_f010_i73_d02,2,27122.41703651018,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f010_i74_d02,2,4639.316811450033,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f010_i75_d02,2,3682702.776249849,30001,1,0.625,10000,2
maes,budget_reset,bbob_f010_i76_d02,2,6284763.905350577,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f010_i77_d02,2,3149.592738513583,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f010_i78_d02,2,556894.4644830858,30001,1,0.609375,10000,2
maes,budget_reset,bbob_f010_i79_d02,2,520112.94290840474,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f010_i80_d02,2,-147.72933035295512,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f011_i01_d02,2,71232.96044265103,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f011_i02_d02,2,6593045.694874046,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f011_i03_d02,2,14.640020503329117,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f011_i04_d02,2,4063.996730388559,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f011_i05_d02,2,347.94457720480773,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f011_i71_d02,2,-40.99422837802493,30001,1,0.625,10000,2
maes,budget_reset,bbob_f011_i72_d02,2,2972277.407480339,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f011_i73_d02,2,118.30102447692505,30001,1,0.65625,10000,2
maes,budget_reset,bbob_f011_i74_d02,2,68.62984648350344,30001,1,0.625,10000,2
maes,budget_reset,bbob_f011_i75_d02,2,165.4772769081526,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f011_i76_d02,2,17638.13419056199,30001,1,0.625,10000,2
maes,budget_reset,bbob_f011_i77_d02,2,45542539.65174136,30001,1,0.625,10000,2
maes,budget_reset,bbob_f011_i78_d02,2,1818485.5895465286,30001,1,0.625,10000,2
maes,budget_reset,bbob_f011_i79_d02,2,85.4452646063946,30001,1,0.625,10000,2
maes,budget_reset,bbob_f011_i80_d02,2,25487.061699303347,30001,1,0.625,10000,2
maes,budget_reset,bbob_f012_i01_d02,2,10500836032.641861,30001,1,0.609375,10000,2
maes,budget_reset,bbob_f012_i02_d02,2,21973514215.946728,30001,1,0.65625,10000,2
maes,budget_reset,bbob_f012_i03_d02,2,1064860038.5724212,30001,1,0.625,10000,2
maes,budget_reset,bbob_f012_i04_d02,2,1984.3144599959874,30001,1,0.609375,10000,2
maes,budget_reset,bbob_f012_i05_d02,2,36350.68431119072,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f012_i71_d02,2,791.8164059204707,30001,1,0.625,10000,2
maes,budget_reset,bbob_f012_i72_d02,2,326987.24153214175,30001,1,0.625,10000,2
maes,budget_reset,bbob_f012_i73_d02,2,12556.891579296207,30001,1,0.625,10000,2
maes,budget_reset,bbob_f012_i74_d02,2,4551513.7534354245,30001,1,0.625,10000,2
maes,budget_reset,bbob_f012_i75_d02,2,15276198.368033761,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f012_i76_d02,2,2639905825.796341,30001,1,0.625,10000,2
maes,budget_reset,bbob_f012_i77_d02,2,11159.692418678407,30001,1,0.609375,10000,2
maes,budget_reset,bbob_f012_i78_d02,2,-34.78592677473672,30001,1,0.625,10000,2
maes,budget_reset,bbob_f012_i79_d02,2,185.45112850993837,30001,1,0.609375,10000,2
maes,budget_reset,bbob_f012_i80_d02,2,124.02643160074959,30001,1,0.625,10000,2
maes,budget_reset,bbob_f013_i01_d02,2,34.68667412020069,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f013_i02_d02,2,108.9734957762499,30001,1,0.625,10000,2
maes,budget_reset,bbob_f013_i03_d02,2,182.0832230468733,30001,1,0.609375,10000,2
maes,budget_reset,bbob_f013_i04_d02,2,1485.1857627445766,30001,1,0.65625,10000,2
maes,budget_reset,bbob_f013_i05_d02,2,147.46854646825952,30001,1,0.640625,10000,2
