optimizer,wrapper,problem_id,dimension,best_fitness,evaluations,sweep,time_one_iteration
cmaes,dummy,bbob_f001_i01_d02,2,79.48,20965,1,0.70124351
cmaes,dummy,bbob_f001_i02_d02,2,394.48,19699,1,0.69273206
cmaes,dummy,bbob_f001_i03_d02,2,-247.11,20995,1,0.68677341
cmaes,dummy,bbob_f001_i04_d02,2,-152.04,21235,1,0.68766801
cmaes,dummy,bbob_f001_i05_d02,2,-25.25,20413,1,0.70464203
cmaes,dummy,bbob_f001_i71_d02,2,183.01,19837,1,0.70248258
cmaes,dummy,bbob_f001_i72_d02,2,183.52,20029,1,0.69424359
cmaes,dummy,bbob_f001_i73_d02,2,-593.84,20059,1,0.71795363
cmaes,dummy,bbob_f001_i74_d02,2,-1000.0,21067,1,0.70938039
cmaes,dummy,bbob_f001_i75_d02,2,-25.31,20413,1,0.69983918
cmaes,dummy,bbob_f001_i76_d02,2,22.28,20149,1,0.68386874
cmaes,dummy,bbob_f001_i77_d02,2,356.14,20239,1,0.68649704
cmaes,dummy,bbob_f001_i78_d02,2,-475.7,21127,1,0.69030189
cmaes,dummy,bbob_f001_i79_d02,2,-1000.0,20677,1,0.68888727
cmaes,dummy,bbob_f001_i80_d02,2,-41.58,20485,1,0.69654466
cmaes,dummy,bbob_f002_i01_d02,2,-209.88,20545,1,0.72114093
cmaes,dummy,bbob_f002_i02_d02,2,-92.09,20383,1,0.72487858
cmaes,dummy,bbob_f002_i03_d02,2,-87.89,20641,1,0.71848575
cmaes,dummy,bbob_f002_i04_d02,2,320.19,20395,1,0.7130876
cmaes,dummy,bbob_f002_i05_d02,2,-104.24,20767,1,0.71068041
cmaes,dummy,bbob_f002_i71_d02,2,-67.85,20263,1,0.7202772
cmaes,dummy,bbob_f002_i72_d02,2,-363.98,20323,1,0.71163594
cmaes,dummy,bbob_f002_i73_d02,2,-18.65,20257,1,0.70945039
cmaes,dummy,bbob_f002_i74_d02,2,174.92,20245,1,0.69421527
cmaes,dummy,bbob_f002_i75_d02,2,-565.96,20233,1,0.69367991
cmaes,dummy,bbob_f002_i76_d02,2,70.95,20629,1,0.69564998
cmaes,dummy,bbob_f002_i77_d02,2,47.28,20869,1,0.69838645
cmaes,dummy,bbob_f002_i78_d02,2,-568.88,20197,1,0.69633305
cmaes,dummy,bbob_f002_i79_d02,2,20.69,21145,1,0.69474708
cmaes,dummy,bbob_f002_i80_d02,2,561.67,20593,1,0.69677181
cmaes,dummy,bbob_f003_i01_d02,2,-461.0950409429067,21505,1,0.69901874
cmaes,dummy,bbob_f003_i02_d02,2,78.6549590570933,20011,1,0.69843258
cmaes,dummy,bbob_f003_i03_d02,2,115.68,20773,1,0.70074517
cmaes,dummy,bbob_f003_i04_d02,2,0.2698311905540858,19477,1,0.69782892
cmaes,dummy,bbob_f003_i05_d02,2,134.08789133980162,20707,1,0.70407907
cmaes,dummy,bbob_f003_i71_d02,2,-38.30504094290671,19717,1,0.7295786
cmaes,dummy,bbob_f003_i72_d02,2,46.93983119055409,19801,1,0.72936518
cmaes,dummy,bbob_f003_i73_d02,2,286.2099181141866,20083,1,0.72907123
cmaes,dummy,bbob_f003_i74_d02,2,-30.180081885813422,19543,1,0.72834943
cmaes,dummy,bbob_f003_i75_d02,2,-41.66579715044518,20335,1,0.72933658
cmaes,dummy,bbob_f003_i76_d02,2,-579.0513180083644,19699,1,0.72229811
cmaes,dummy,bbob_f003_i77_d02,2,135.68991811418658,19699,1,0.72696565
cmaes,dummy,bbob_f003_i78_d02,2,-17.000168809445913,20647,1,0.70893936
cmaes,dummy,bbob_f003_i79_d02,2,143.2896623811082,20047,1,0.7076011
cmaes,dummy,bbob_f003_i80_d02,2,44.35677588274914,20203,1,0.72276324
cmaes,dummy,bbob_f004_i01_d02,2,-446.17075620753843,20035,1,0.72832046
cmaes,dummy,bbob_f004_i02_d02,2,94.57420284955481,19969,1,0.72759772
cmaes,dummy,bbob_f004_i03_d02,2,119.65983119055409,19807,1,0.71601071
cmaes,dummy,bbob_f004_i04_d02,2,0.2698311905540858,20461,1,0.69799778
cmaes,dummy,bbob_f004_i05_d02,2,168.99295098989,20545,1,0.6973451
cmaes,dummy,bbob_f004_i71_d02,2,-37.707584268419374,19807,1,0.6962929
cmaes,dummy,bbob_f004_i72_d02,2,46.09433566553781,20101,1,0.71479848
cmaes,dummy,bbob_f004_i73_d02,2,289.1947902476474,20143,1,0.73003153
cmaes,dummy,bbob_f004_i74_d02,2,-32.17,20047,1,0.73006196
cmaes,dummy,bbob_f004_i75_d02,2,-54.60016880944591,20305,1,0.73025275
cmaes,dummy,bbob_f004_i76_d02,2,-600.3987640778782,20149,1,0.69515794
cmaes,dummy,bbob_f004_i77_d02,2,170.51295098989,19861,1,0.69674803
cmaes,dummy,bbob_f004_i78_d02,2,11.764136590787334,19549,1,0.69706204
cmaes,dummy,bbob_f004_i79_d02,2,135.33,20137,1,0.69746815
cmaes,dummy,bbob_f004_i80_d02,2,46.89855701137337,19879,1,0.69845266
cmaes,dummy,bbob_f005_i01_d02,2,-9.21,21367,1,0.68916305
cmaes,dummy,bbob_f005_i02_d02,2,655.99,21163,1,0.691851
cmaes,dummy,bbob_f005_i03_d02,2,66.71,21043,1,0.69177811
cmaes,dummy,bbob_f005_i04_d02,2,941.67,20983,1,0.68969546
cmaes,dummy,bbob_f005_i05_d02,2,-37.45,20989,1,0.68785116
cmaes,dummy,bbob_f005_i71_d02,2,-66.39,21013,1,0.68673899
cmaes,dummy,bbob_f005_i72_d02,2,-226.01,21211,1,0.68896558
cmaes,dummy,bbob_f005_i73_d02,2,1000.0,21883,1,0.68947198
cmaes,dummy,bbob_f005_i74_d02,2,-183.02,21259,1,0.68916794
cmaes,dummy,bbob_f005_i75_d02,2,-102.62,21055,1,0.6939669
cmaes,dummy,bbob_f005_i76_d02,2,99.53,21163,1,0.69166936
cmaes,dummy,bbob_f005_i77_d02,2,149.59,21109,1,0.68808216
cmaes,dummy,bbob_f005_i78_d02,2,-1000.0,20767,1,0.68767493
cmaes,dummy,bbob_f005_i79_d02,2,-29.22,20785,1,0.69199615
cmaes,dummy,bbob_f005_i80_d02,2,-40.96,20659,1,0.6882214
cmaes,dummy,bbob_f006_i01_d02,2,35.9,20161,1,0.69240142
cmaes,dummy,bbob_f006_i02_d02,2,31.37,20221,1,0.69111606
cmaes,dummy,bbob_f006_i03_d02,2,-1000.0,20197,1,0.69398536
cmaes,dummy,bbob_f006_i04_d02,2,131.92,19927,1,0.68978775
cmaes,dummy,bbob_f006_i05_d02,2,590.84,20479,1,0.69280279
cmaes,dummy,bbob_f006_i71_d02,2,67.49,21199,1,0.69303549
cmaes,dummy,bbob_f006_i72_d02,2,30.85,20209,1,0.69397051
cmaes,dummy,bbob_f006_i73_d02,2,-12.55,20659,1,0.69142434
cmaes,dummy,bbob_f006_i74_d02,2,538.39,20461,1,0.69402732
cmaes,dummy,bbob_f006_i75_d02,2,-105.56,20329,1,0.69234669
cmaes,dummy,bbob_f006_i76_d02,2,98.03,20521,1,0.69823761
cmaes,dummy,bbob_f006_i77_d02,2,1000.0,20263,1,0.71197698
cmaes,dummy,bbob_f006_i78_d02,2,1.49,19939,1,0.71838061
cmaes,dummy,bbob_f006_i79_d02,2,596.35,20455,1,0.72069502
cmaes,dummy,bbob_f006_i80_d02,2,-118.97,20287,1,0.69774818
cmaes,dummy,bbob_f007_i01_d02,2,93.45715847183976,21265,1,0.68610337
cmaes,dummy,bbob_f007_i02_d02,2,35.35,21145,1,0.69254775
cmaes,dummy,bbob_f007_i03_d02,2,8.430614881643004,20509,1,0.71001834
cmaes,dummy,bbob_f007_i04_d02,2,21.75762982123477,21019,1,0.72110845
cmaes,dummy,bbob_f007_i05_d02,2,64.81509132044442,20293,1,0.7147748
cmaes,dummy,bbob_f007_i71_d02,2,-1000.0,20545,1,0.72102116
cmaes,dummy,bbob_f007_i72_d02,2,173.41857884486285,20695,1,0.71806343
cmaes,dummy,bbob_f007_i73_d02,2,710.4583524449008,21271,1,0.72053938
cmaes,dummy,bbob_f007_i74_d02,2,92.84,21103,1,0.7221875
cmaes,dummy,bbob_f007_i75_d02,2,-366.0536923152698,21133,1,0.71139439
cmaes,dummy,bbob_f007_i76_d02,2,49.5,20083,1,0.68671293
cmaes,dummy,bbob_f007_i77_d02,2,-12.64660861347847,21403,1,0.68882786
cmaes,dummy,bbob_f007_i78_d02,2,63.65000010651216,21145,1,0.68829279
cmaes,dummy,bbob_f007_i79_d02,2,699.6147206563603,20677,1,0.69127895
cmaes,dummy,bbob_f007_i80_d02,2,1000.0026449408821,21217,1,0.71447509
cmaes,dummy,bbob_f008_i01_d02,2,149.15,21631,1,0.7140298
cmaes,dummy,bbob_f008_i02_d02,2,-1000.0,20377,1,0.72173783
cmaes,dummy,bbob_f008_i03_d02,2,98.62,23887,1,0.72086714
cmaes,dummy,bbob_f008_i04_d02,2,-47.15,21187,1,0.71217938
cmaes,dummy,bbob_f008_i05_d02,2,37.52,20605,1,0.68709474
cmaes,dummy,bbob_f008_i71_d02,2,6.74,20839,1,0.68736182
cmaes,dummy,bbob_f008_i72_d02,2,-189.79,21103,1,0.68937004
cmaes,dummy,bbob_f008_i73_d02,2,-27.74,20515,1,0.68853901
cmaes,dummy,bbob_f008_i74_d02,2,6.93,20995,1,0.68975482
cmaes,dummy,bbob_f008_i75_d02,2,-44.56,21445,1,0.69051226
cmaes,dummy,bbob_f008_i76_d02,2,1000.0,20485,1,0.68996257
cmaes,dummy,bbob_f008_i77_d02,2,-679.71,20137,1,0.71266006
cmaes,dummy,bbob_f008_i78_d02,2,1000.0,21187,1,0.68906633
cmaes,dummy,bbob_f008_i79_d02,2,10.07,20563,1,0.68904642
cmaes,dummy,bbob_f008_i80_d02,2,-7.54,20407,1,0.69033071
cmaes,dummy,bbob_f009_i01_d02,2,123.83,21781,1,0.68707754
cmaes,dummy,bbob_f009_i02_d02,2,47.51,20191,1,0.68860796
cmaes,dummy,bbob_f009_i03_d02,2,55.34,20197,1,0.68695064
cmaes,dummy,bbob_f009_i04_d02,2,-90.33,20887,1,0.69464708
cmaes,dummy,bbob_f009_i05_d02,2,65.61,20515,1,0.70810774
cmaes,dummy,bbob_f009_i71_d02,2,934.82,20095,1,0.71849538
cmaes,dummy,bbob_f009_i72_d02,2,-63.71,20473,1,0.69790443
cmaes,dummy,bbob_f009_i73_d02,2,1000.0,21565,1,0.70510506
cmaes,dummy,bbob_f009_i74_d02,2,31.97,20359,1,0.69325813
cmaes,dummy,bbob_f009_i75_d02,2,58.19,20653,1,0.69753709
cmaes,dummy,bbob_f009_i76_d02,2,-4.84,20065,1,0.7185581
cmaes,dummy,bbob_f009_i77_d02,2,-63.37,20941,1,0.7198657
cmaes,dummy,bbob_f009_i78_d02,2,2.75,20617,1,0.71929708
cmaes,dummy,bbob_f009_i79_d02,2,-46.81,21085,1,0.7187608
cmaes,dummy,bbob_f009_i80_d02,2,61.34,20851,1,0.71914537
cmaes,dummy,bbob_f010_i01_d02,2,-54.94,21955,1,0.72200783
cmaes,dummy,bbob_f010_i02_d02,2,59.13,22177,1,0.72531864
cmaes,dummy,bbob_f010_i03_d02,2,-491.53,21109,1,0.7291798
cmaes,dummy,bbob_f010_i04_d02,2,-170.2,21889,1,0.71254691
cmaes,dummy,bbob_f010_i05_d02,2,-469.75,21157,1,0.69573743
cmaes,dummy,bbob_f010_i71_d02,2,-51.91,22783,1,0.72924466
cmaes,dummy,bbob_f010_i72_d02,2,48.08,20245,1,0.72964519
cmaes,dummy,bbob_f010_i73_d02,2,30.58,20449,1,0.72283002
cmaes,dummy,bbob_f010_i74_d02,2,1000.0,20893,1,0.71935234
cmaes,dummy,bbob_f010_i75_d02,2,-42.36,21013,1,0.71229951
cmaes,dummy,bbob_f010_i76_d02,2,-71.87,20617,1,0.72823152
cmaes,dummy,bbob_f010_i77_d02,2,-16.5,20749,1,0.72855695
cmaes,dummy,bbob_f010_i78_d02,2,1000.0,21535,1,0.72355266
cmaes,dummy,bbob_f010_i79_d02,2,-1000.0,21295,1,0.72810683
cmaes,dummy,bbob_f010_i80_d02,2,-152.74,21223,1,0.72753905
cmaes,dummy,bbob_f011_i01_d02,2,76.27,21745,1,0.72128843
cmaes,dummy,bbob_f011_i02_d02,2,-22.55,21079,1,0.72246285
cmaes,dummy,bbob_f011_i03_d02,2,13.66,21007,1,0.69378472
cmaes,dummy,bbob_f011_i04_d02,2,937.84,21511,1,0.69510589
cmaes,dummy,bbob_f011_i05_d02,2,-78.72,20683,1,0.6928538
cmaes,dummy,bbob_f011_i71_d02,2,-41.51,21529,1,0.69770195
cmaes,dummy,bbob_f011_i72_d02,2,132.07,20971,1,0.69661954
cmaes,dummy,bbob_f011_i73_d02,2,97.25,20971,1,0.69482666
cmaes,dummy,bbob_f011_i74_d02,2,-20.33,21517,1,0.69478571
cmaes,dummy,bbob_f011_i75_d02,2,94.31,21667,1,0.69789218
cmaes,dummy,bbob_f011_i76_d02,2,-143.69,20683,1,0.71698415
cmaes,dummy,bbob_f011_i77_d02,2,-353.38,21037,1,0.72531077
cmaes,dummy,bbob_f011_i78_d02,2,-2.91,20119,1,0.72164608
cmaes,dummy,bbob_f011_i79_d02,2,-2.97,20371,1,0.69389191
cmaes,dummy,bbob_f011_i80_d02,2,299.63,20479,1,0.69371118
cmaes,dummy,bbob_f012_i01_d02,2,-621.11,21649,1,0.69209076
cmaes,dummy,bbob_f012_i02_d02,2,-254.82,21985,1,0.69316866
cmaes,dummy,bbob_f012_i03_d02,2,56.61,22861,1,0.69481201
cmaes,dummy,bbob_f012_i04_d02,2,-18.1,21859,1,0.69863542
cmaes,dummy,bbob_f012_i05_d02,2,37.77,22663,1,0.7234277
cmaes,dummy,bbob_f012_i71_d02,2,-632.55,20557,1,0.71720304
cmaes,dummy,bbob_f012_i72_d02,2,-85.3,23971,1,0.71704568
cmaes,dummy,bbob_f012_i73_d02,2,171.95,20395,1,0.72317162
cmaes,dummy,bbob_f012_i74_d02,2,68.16,21865,1,0.70445906
cmaes,dummy,bbob_f012_i75_d02,2,1000.0,21373,1,0.72430245
cmaes,dummy,bbob_f012_i76_d02,2,-68.36999999999998,24799,1,0.73381637
cmaes,dummy,bbob_f012_i77_d02,2,-55.48,20569,1,0.71981259
cmaes,dummy,bbob_f012_i78_d02,2,-53.49,21241,1,0.72108487
cmaes,dummy,bbob_f012_i79_d02,2,117.27,21061,1,0.70938191
cmaes,dummy,bbob_f012_i80_d02,2,77.89,21169,1,0.71399911
cmaes,dummy,bbob_f013_i01_d02,2,29.970000000000013,2299,1,0.6824889
cmaes,dummy,bbob_f013_i02_d02,2,-51.70999999999917,23593,1,0.70541544
cmaes,dummy,bbob_f013_i03_d02,2,-279.95,3877,1,0.71327867
cmaes,dummy,bbob_f013_i04_d02,2,931.99,2119,1,0.71165544
cmaes,dummy,bbob_f013_i05_d02,2,113.31,2341,1,0.71062069
cmaes,dummy,bbob_f013_i71_d02,2,28.490000000000006,2107,1,0.71086004
cmaes,dummy,bbob_f013_i72_d02,2,-740.5799999999999,25351,1,0.7217595
cmaes,dummy,bbob_f013_i73_d02,2,-51.77,5677,1,0.70996932
cmaes,dummy,bbob_f013_i74_d02,2,-222.98,24961,1,0.71908997
cmaes,dummy,bbob_f013_i75_d02,2,5.86,27487,1,0.71818155
cmaes,dummy,bbob_f013_i76_d02,2,204.86,3061,1,0.71477095
cmaes,dummy,bbob_f013_i77_d02,2,115.49,30001,1,0.72455558
cmaes,dummy,bbob_f013_i78_d02,2,195.05,30001,1,0.71687333
cmaes,dummy,bbob_f013_i79_d02,2,-214.47999999999573,22447,1,0.71408731
cmaes,dummy,bbob_f013_i80_d02,2,-45.9,30001,1,0.70690427
cmaes,dummy,bbob_f014_i01_d02,2,-52.35,1831,1,0.68084671
cmaes,dummy,bbob_f014_i02_d02,2,-179.54,1615,1,0.68070585
cmaes,dummy,bbob_f014_i03_d02,2,77.31,23407,1,0.69384709
cmaes,dummy,bbob_f014_i04_d02,2,39.920000000000016,2473,1,0.67778115
cmaes,dummy,bbob_f014_i05_d02,2,-56.60999999999998,2095,1,0.68085872
cmaes,dummy,bbob_f014_i71_d02,2,32.7,25711,1,0.68714422
cmaes,dummy,bbob_f014_i72_d02,2,-39.42999999999999,23641,1,0.69406402
cmaes,dummy,bbob_f014_i73_d02,2,419.7200000000001,22423,1,0.69497924
cmaes,dummy,bbob_f014_i74_d02,2,7.640000000000012,2191,1,0.6834758
cmaes,dummy,bbob_f014_i75_d02,2,-127.67999999999998,23257,1,0.68941355
cmaes,dummy,bbob_f014_i76_d02,2,-36.5,23341,1,0.69012048
cmaes,dummy,bbob_f014_i77_d02,2,172.87000000000003,22279,1,0.69162485
cmaes,dummy,bbob_f014_i78_d02,2,157.72000000000003,22831,1,0.69175993
cmaes,dummy,bbob_f014_i79_d02,2,28.19,21955,1,0.69073759
cmaes,dummy,bbob_f014_i80_d02,2,-99.24999999999997,1969,1,0.68231325
cmaes,dummy,bbob_f015_i01_d02,2,1004.9747902476474,19933,1,0.69816186
cmaes,dummy,bbob_f015_i02_d02,2,86.94420284955481,19747,1,0.69895106
cmaes,dummy,bbob_f015_i03_d02,2,-48.22,20269,1,0.70095677
cmaes,dummy,bbob_f015_i04_d02,2,26.46495905709329,20173,1,0.69950635
cmaes,dummy,bbob_f015_i05_d02,2,-86.7778467441419,20557,1,0.69855331
cmaes,dummy,bbob_f015_i71_d02,2,-312.3370332729962,19777,1,0.69787344
cmaes,dummy,bbob_f015_i72_d02,2,92.13479024764737,19999,1,0.69692114
cmaes,dummy,bbob_f015_i73_d02,2,-30.770168809445913,19543,1,0.69654909
cmaes,dummy,bbob_f015_i74_d02,2,-982.090797517026,20329,1,0.69904268
cmaes,dummy,bbob_f015_i75_d02,2,-89.21871842004262,20443,1,0.70181593
cmaes,dummy,bbob_f015_i76_d02,2,-178.6218230946256,19939,1,0.70138377
cmaes,dummy,bbob_f015_i77_d02,2,-52.50008188581342,19717,1,0.69836361
cmaes,dummy,bbob_f015_i78_d02,2,51.48495905709329,19945,1,0.6998003
cmaes,dummy,bbob_f015_i79_d02,2,-344.2309250169844,20683,1,0.72145334
cmaes,dummy,bbob_f015_i80_d02,2,160.2649590570933,19729,1,0.71115572
cmaes,dummy,bbob_f016_i01_d02,2,79.21740339802392,19291,1,0.70247404
cmaes,dummy,bbob_f016_i02_d02,2,-347.31268976089143,19759,1,0.7060975
cmaes,dummy,bbob_f016_i03_d02,2,100.15432899155776,19753,1,0.70431545
cmaes,dummy,bbob_f016_i04_d02,2,-517.91,21823,1,0.70667438
cmaes,dummy,bbob_f016_i05_d02,2,-57.21,20431,1,0.72597549
cmaes,dummy,bbob_f016_i71_d02,2,71.91927855517437,19831,1,0.70524013
cmaes,dummy,bbob_f016_i72_d02,2,-131.2479661278281,19453,1,0.70563699
cmaes,dummy,bbob_f016_i73_d02,2,736.286316357738,19639,1,0.71497574
cmaes,dummy,bbob_f016_i74_d02,2,102.50882029354977,20035,1,0.70908174
cmaes,dummy,bbob_f016_i75_d02,2,-48.78265772078461,19717,1,0.70396534
cmaes,dummy,bbob_f016_i76_d02,2,-140.5394970185271,19705,1,0.70816054
cmaes,dummy,bbob_f016_i77_d02,2,109.57,19801,1,0.70796374
cmaes,dummy,bbob_f016_i78_d02,2,82.57874983939291,19729,1,0.70568144
cmaes,dummy,bbob_f016_i79_d02,2,114.0900022238218,19975,1,0.71678384
cmaes,dummy,bbob_f016_i80_d02,2,-544.59,20869,1,0.7351075
cmaes,dummy,bbob_f017_i01_d02,2,6.847718060709727,20431,1,0.72447363
cmaes,dummy,bbob_f017_i02_d02,2,19.335829995448268,20581,1,0.72656141
cmaes,dummy,bbob_f017_i03_d02,2,273.1500287776661,21331,1,0.72770331
cmaes,dummy,bbob_f017_i04_d02,2,51.22883927138254,20743,1,0.72168668
cmaes,dummy,bbob_f017_i05_d02,2,-113.1920034336246,21265,1,0.71379341
cmaes,dummy,bbob_f017_i71_d02,2,489.5032159420856,20209,1,0.71806508
cmaes,dummy,bbob_f017_i72_d02,2,-36.45962658089391,20593,1,0.71019292
cmaes,dummy,bbob_f017_i73_d02,2,56.046669080046854,21277,1,0.72631087
cmaes,dummy,bbob_f017_i74_d02,2,-32.00686419495569,21559,1,0.72791169
