optimizer,wrapper,problem_id,dimension,best_fitness,evaluations,sweep,time_one_iteration,param_stagnation_limit,param_pop_increase_factor
maes,stagnation_restart,bbob_f001_i01_d02,2,96.90486401262822,30001,1,0.734375,30,2
maes,stagnation_restart,bbob_f001_i02_d02,2,436.3712538786424,30001,1,0.734375,30,2
maes,stagnation_restart,bbob_f001_i03_d02,2,-243.2672992605419,30001,1,0.765625,30,2
maes,stagnation_restart,bbob_f001_i04_d02,2,-140.49101999994886,30001,1,0.6875,30,2
maes,stagnation_restart,bbob_f001_i05_d02,2,13.334053541277882,30001,1,0.6875,30,2
maes,stagnation_restart,bbob_f001_i71_d02,2,183.075840904733,30001,1,0.6875,30,2
maes,stagnation_restart,bbob_f001_i72_d02,2,197.37537598112092,30001,1,0.71875,30,2
maes,stagnation_restart,bbob_f001_i73_d02,2,-576.9599568852333,30001,1,0.734375,30,2
maes,stagnation_restart,bbob_f001_i74_d02,2,-994.583106450921,30001,1,0.703125,30,2
maes,stagnation_restart,bbob_f001_i75_d02,2,-9.907408140397905,30001,1,0.703125,30,2
maes,stagnation_restart,bbob_f001_i76_d02,2,22.962546436869804,30001,1,0.734375,30,2
maes,stagnation_restart,bbob_f001_i77_d02,2,368.453202100635,30001,1,0.6875,30,2
maes,stagnation_restart,bbob_f001_i78_d02,2,-469.6721203922191,30001,1,0.71875,30,2
maes,stagnation_restart,bbob_f001_i79_d02,2,-971.9620097639762,30001,1,0.6875,30,2
maes,stagnation_restart,bbob_f001_i80_d02,2,-38.859325670151804,30001,1,0.703125,30,2
maes,stagnation_restart,bbob_f002_i01_d02,2,10.75771321455855,30001,1,0.734375,30,2
maes,stagnation_restart,bbob_f002_i02_d02,2,3785713.630192119,30001,1,0.765625,30,2
maes,stagnation_restart,bbob_f002_i03_d02,2,18328.234628823902,30001,1,0.71875,30,2
maes,stagnation_restart,bbob_f002_i04_d02,2,2635950.7635626225,30001,1,0.71875,30,2
maes,stagnation_restart,bbob_f002_i05_d02,2,22926298.789605655,30001,1,0.734375,30,2
maes,stagnation_restart,bbob_f002_i71_d02,2,22784039.431653414,30001,1,0.75,30,2
maes,stagnation_restart,bbob_f002_i72_d02,2,54588.899731015736,30001,1,0.75,30,2
maes,stagnation_restart,bbob_f002_i73_d02,2,1732680.5410497452,30001,1,0.734375,30,2
maes,stagnation_restart,bbob_f002_i74_d02,2,3639347.7159503,30001,1,0.75,30,2
maes,stagnation_restart,bbob_f002_i75_d02,2,14981.450858947625,30001,1,0.734375,30,2
maes,stagnation_restart,bbob_f002_i76_d02,2,473354.9296254598,30001,1,0.78125,30,2
maes,stagnation_restart,bbob_f002_i77_d02,2,623928.2144134224,30001,1,0.734375,30,2
maes,stagnation_restart,bbob_f002_i78_d02,2,12652.58097763906,30001,1,0.734375,30,2
maes,stagnation_restart,bbob_f002_i79_d02,2,485899.3329192288,30001,1,0.75,30,2
maes,stagnation_restart,bbob_f002_i80_d02,2,inf,30001,1,0.75,30,2
maes,stagnation_restart,bbob_f003_i01_d02,2,-384.2596613920491,30001,1,0.796875,30,2
maes,stagnation_restart,bbob_f003_i02_d02,2,158.62165599985812,30001,1,0.78125,30,2
maes,stagnation_restart,bbob_f003_i03_d02,2,546.4152711829038,30001,1,0.78125,30,2
maes,stagnation_restart,bbob_f003_i04_d02,2,59.908010226373456,30001,1,0.75,30,2
maes,stagnation_restart,bbob_f003_i05_d02,2,174.20254948181082,30001,1,0.78125,30,2
maes,stagnation_restart,bbob_f003_i71_d02,2,35.01189538288861,30001,1,0.765625,30,2
maes,stagnation_restart,bbob_f003_i72_d02,2,185.5175581318648,30001,1,0.8125,30,2
maes,stagnation_restart,bbob_f003_i73_d02,2,287.47866826052183,30001,1,0.75,30,2
maes,stagnation_restart,bbob_f003_i74_d02,2,5.5170999215667464,30001,1,0.734375,30,2
maes,stagnation_restart,bbob_f003_i75_d02,2,-4.71343459240488,30001,1,0.75,30,2
maes,stagnation_restart,bbob_f003_i76_d02,2,-582.7413401452393,30001,1,0.734375,30,2
maes,stagnation_restart,bbob_f003_i77_d02,2,154.3525057646894,30001,1,0.765625,30,2
maes,stagnation_restart,bbob_f003_i78_d02,2,200.29807215347745,30001,1,0.828125,30,2
maes,stagnation_restart,bbob_f003_i79_d02,2,471.1008259408642,30001,1,0.75,30,2
maes,stagnation_restart,bbob_f003_i80_d02,2,69.09634740908258,30001,1,0.71875,30,2
maes,stagnation_restart,bbob_f004_i01_d02,2,-436.3785465312043,30001,1,0.75,30,2
maes,stagnation_restart,bbob_f004_i02_d02,2,90.99649935731408,30001,1,0.78125,30,2
maes,stagnation_restart,bbob_f004_i03_d02,2,181.03368083916143,30001,1,0.75,30,2
maes,stagnation_restart,bbob_f004_i04_d02,2,8.371765439289554,30001,1,0.75,30,2
maes,stagnation_restart,bbob_f004_i05_d02,2,229.41032382259897,30001,1,0.734375,30,2
maes,stagnation_restart,bbob_f004_i71_d02,2,14.764812166633426,30001,1,0.796875,30,2
maes,stagnation_restart,bbob_f004_i72_d02,2,59.19089058011453,30001,1,0.765625,30,2
maes,stagnation_restart,bbob_f004_i73_d02,2,381.309415562615,30001,1,0.734375,30,2
maes,stagnation_restart,bbob_f004_i74_d02,2,-26.965531302483843,30001,1,0.71875,30,2
maes,stagnation_restart,bbob_f004_i75_d02,2,inf,30001,1,0.75,30,2
maes,stagnation_restart,bbob_f004_i76_d02,2,-532.4096158441376,30001,1,0.765625,30,2
maes,stagnation_restart,bbob_f004_i77_d02,2,158.67432078392702,30001,1,0.734375,30,2
maes,stagnation_restart,bbob_f004_i78_d02,2,281.34776610775197,30001,1,0.734375,30,2
maes,stagnation_restart,bbob_f004_i79_d02,2,427.77063609611355,30001,1,0.75,30,2
maes,stagnation_restart,bbob_f004_i80_d02,2,58.17675424550659,30001,1,0.734375,30,2
maes,stagnation_restart,bbob_f005_i01_d02,2,25.628273414269565,30001,1,0.71875,30,2
maes,stagnation_restart,bbob_f005_i02_d02,2,682.5821435401547,30001,1,0.6875,30,2
maes,stagnation_restart,bbob_f005_i03_d02,2,78.64467168691986,30001,1,0.703125,30,2
maes,stagnation_restart,bbob_f005_i04_d02,2,998.9213989176083,30001,1,0.703125,30,2
maes,stagnation_restart,bbob_f005_i05_d02,2,-31.49831744841803,30001,1,0.71875,30,2
maes,stagnation_restart,bbob_f005_i71_d02,2,-13.59014432498369,30001,1,0.6875,30,2
maes,stagnation_restart,bbob_f005_i72_d02,2,-217.41635304776545,30001,1,0.703125,30,2
maes,stagnation_restart,bbob_f005_i73_d02,2,1039.8051517331276,30001,1,0.75,30,2
maes,stagnation_restart,bbob_f005_i74_d02,2,-138.71904305133108,30001,1,0.703125,30,2
maes,stagnation_restart,bbob_f005_i75_d02,2,-37.41991504867151,30001,1,0.703125,30,2
maes,stagnation_restart,bbob_f005_i76_d02,2,192.1497149327476,30001,1,0.65625,30,2
