optimizer,wrapper,problem_id,dimension,best_fitness,evaluations,sweep,time_one_iteration,param_stagnation_limit,param_pop_increase_factor
maes,stagnation_restart,bbob_f001_i01_d02,2,79.52580990618792,30001,1,0.640625,15,2
maes,stagnation_restart,bbob_f001_i02_d02,2,467.0917077794868,30001,1,0.65625,15,2
maes,stagnation_restart,bbob_f001_i03_d02,2,-180.56302770649563,30001,1,0.640625,15,2
maes,stagnation_restart,bbob_f001_i04_d02,2,-116.55644496592498,30001,1,0.65625,15,2
maes,stagnation_restart,bbob_f001_i05_d02,2,31.971086578414756,30001,1,0.65625,15,2
maes,stagnation_restart,bbob_f001_i71_d02,2,206.96619083967016,30001,1,0.640625,15,2
maes,stagnation_restart,bbob_f001_i72_d02,2,192.51002127171097,30001,1,0.65625,15,2
maes,stagnation_restart,bbob_f001_i73_d02,2,-581.6147466068084,30001,1,0.640625,15,2
maes,stagnation_restart,bbob_f001_i74_d02,2,-999.635363434779,30001,1,0.640625,15,2
maes,stagnation_restart,bbob_f001_i75_d02,2,87.1054308506871,30001,1,0.65625,15,2
maes,stagnation_restart,bbob_f001_i76_d02,2,74.87714749547368,30001,1,0.65625,15,2
maes,stagnation_restart,bbob_f001_i77_d02,2,356.4703857067621,30001,1,0.640625,15,2
maes,stagnation_restart,bbob_f001_i78_d02,2,-459.86010276728456,30001,1,0.640625,15,2
maes,stagnation_restart,bbob_f001_i79_d02,2,-995.9602558886965,30001,1,0.640625,15,2
maes,stagnation_restart,bbob_f001_i80_d02,2,-39.8386895680263,30001,1,0.65625,15,2
maes,stagnation_restart,bbob_f002_i01_d02,2,21218240.558718853,30001,1,0.640625,15,2
maes,stagnation_restart,bbob_f002_i02_d02,2,10490.505243045678,30001,1,0.625,15,2
maes,stagnation_restart,bbob_f002_i03_d02,2,22333388.269587234,30001,1,0.65625,15,2
maes,stagnation_restart,bbob_f002_i04_d02,2,14966.165380834655,30001,1,0.65625,15,2
maes,stagnation_restart,bbob_f002_i05_d02,2,724.8152974604135,30001,1,0.65625,15,2
maes,stagnation_restart,bbob_f002_i71_d02,2,830340.5402291307,30001,1,0.65625,15,2
maes,stagnation_restart,bbob_f002_i72_d02,2,37801.650201524295,30001,1,0.65625,15,2
maes,stagnation_restart,bbob_f002_i73_d02,2,3998740.8307799636,30001,1,0.65625,15,2
maes,stagnation_restart,bbob_f002_i74_d02,2,19252765.218751214,30001,1,0.671875,15,2
maes,stagnation_restart,bbob_f002_i75_d02,2,3700.9319882563177,30001,1,0.671875,15,2
maes,stagnation_restart,bbob_f002_i76_d02,2,106490.94521568669,30001,1,0.65625,15,2
maes,stagnation_restart,bbob_f002_i77_d02,2,11511736.908192992,30001,1,0.71875,15,2
maes,stagnation_restart,bbob_f002_i78_d02,2,1826.6821753496306,30001,1,0.671875,15,2
maes,stagnation_restart,bbob_f002_i79_d02,2,inf,30001,1,0.671875,15,2
maes,stagnation_restart,bbob_f002_i80_d02,2,13855294.427204814,30001,1,0.671875,15,2
maes,stagnation_restart,bbob_f003_i01_d02,2,-336.34315832470895,30001,1,0.6875,15,2
maes,stagnation_restart,bbob_f003_i02_d02,2,121.51845131997632,30001,1,0.671875,15,2
maes,stagnation_restart,bbob_f003_i03_d02,2,149.49675756285808,30001,1,0.671875,15,2
maes,stagnation_restart,bbob_f003_i04_d02,2,9.77266182766174,30001,1,0.671875,15,2
maes,stagnation_restart,bbob_f003_i05_d02,2,260.38064773272123,30001,1,0.703125,15,2
maes,stagnation_restart,bbob_f003_i71_d02,2,18.52580849938044,30001,1,0.6875,15,2
maes,stagnation_restart,bbob_f003_i72_d02,2,54.84976615050179,30001,1,0.6875,15,2
maes,stagnation_restart,bbob_f003_i73_d02,2,299.7902597639363,30001,1,0.703125,15,2
maes,stagnation_restart,bbob_f003_i74_d02,2,299.16821556671437,30001,1,0.671875,15,2
maes,stagnation_restart,bbob_f003_i75_d02,2,-48.404843927620135,30001,1,0.6875,15,2
maes,stagnation_restart,bbob_f003_i76_d02,2,46.640147969836335,30001,1,0.703125,15,2
maes,stagnation_restart,bbob_f003_i77_d02,2,293.3815408552523,30001,1,0.6875,15,2
maes,stagnation_restart,bbob_f003_i78_d02,2,inf,30001,1,0.703125,15,2
maes,stagnation_restart,bbob_f003_i79_d02,2,135.52032286222578,30001,1,0.671875,15,2
