optimizer,wrapper,problem_id,dimension,best_fitness,evaluations,sweep,time_one_iteration
maes,dummy,bbob_f001_i01_d02,2,99.72138930459923,30001,1,0.8125
maes,dummy,bbob_f001_i02_d02,2,394.48085321864863,30001,1,0.828125
maes,dummy,bbob_f001_i03_d02,2,-240.23994070494194,30001,1,0.8125
maes,dummy,bbob_f001_i04_d02,2,-145.2030067593223,30001,1,0.8125
maes,dummy,bbob_f001_i05_d02,2,-5.582588698405395,30001,1,0.890625
maes,dummy,bbob_f001_i71_d02,2,183.4167069784219,30001,1,0.828125
maes,dummy,bbob_f001_i72_d02,2,191.08684467269904,30001,1,0.765625
maes,dummy,bbob_f001_i73_d02,2,-593.8380179788503,30001,1,0.765625
maes,dummy,bbob_f001_i74_d02,2,-981.1705222351063,30001,1,0.828125
maes,dummy,bbob_f001_i75_d02,2,9.131905088192365,30001,1,0.78125
maes,dummy,bbob_f001_i76_d02,2,23.375982379775525,30001,1,0.765625
maes,dummy,bbob_f001_i77_d02,2,356.7542088288935,30001,1,0.828125
maes,dummy,bbob_f001_i78_d02,2,-457.63737620981095,30001,1,0.796875
maes,dummy,bbob_f001_i79_d02,2,-995.6040130114427,30001,1,0.78125
maes,dummy,bbob_f001_i80_d02,2,-33.99643388040677,30001,1,0.765625
maes,dummy,bbob_f002_i01_d02,2,-182.63727574185933,30001,1,0.828125
maes,dummy,bbob_f002_i02_d02,2,-80.31912787239379,30001,1,0.78125
maes,dummy,bbob_f002_i03_d02,2,1502.7335474682848,30001,1,0.828125
maes,dummy,bbob_f002_i04_d02,2,352.0697105424242,30001,1,0.90625
maes,dummy,bbob_f002_i05_d02,2,341174.2049449408,30001,1,0.921875
maes,dummy,bbob_f002_i71_d02,2,34749362.19088656,30001,1,0.859375
maes,dummy,bbob_f002_i72_d02,2,1642255.618240912,30001,1,0.875
maes,dummy,bbob_f002_i73_d02,2,-8.603390727149629,30001,1,0.90625
maes,dummy,bbob_f002_i74_d02,2,2197820.328473428,30001,1,0.921875
maes,dummy,bbob_f002_i75_d02,2,-51.50432736009975,30001,1,0.9375
maes,dummy,bbob_f002_i76_d02,2,7249721.875684437,30001,1,0.84375
maes,dummy,bbob_f002_i77_d02,2,114649.73088508054,30001,1,0.78125
maes,dummy,bbob_f002_i78_d02,2,-527.2536734258186,30001,1,0.75
maes,dummy,bbob_f002_i79_d02,2,960.8927096954545,30001,1,0.734375
maes,dummy,bbob_f002_i80_d02,2,7399588.793166942,30001,1,0.734375
maes,dummy,bbob_f003_i01_d02,2,-454.88390750355006,30001,1,0.75
maes,dummy,bbob_f003_i02_d02,2,125.87371684763195,30001,1,0.796875
maes,dummy,bbob_f003_i03_d02,2,216.7755733310775,30001,1,0.78125
maes,dummy,bbob_f003_i04_d02,2,175.64817859477336,30001,1,0.78125
maes,dummy,bbob_f003_i05_d02,2,159.5745394873441,30001,1,0.8125
maes,dummy,bbob_f003_i71_d02,2,3.934547018508219,30001,1,0.796875
maes,dummy,bbob_f003_i72_d02,2,230.42464643324112,30001,1,0.796875
maes,dummy,bbob_f003_i73_d02,2,293.52451754907145,30001,1,0.78125
maes,dummy,bbob_f003_i74_d02,2,2.77397250741771,30001,1,0.8125
maes,dummy,bbob_f003_i75_d02,2,-33.50147485090651,30001,1,0.8125
maes,dummy,bbob_f003_i76_d02,2,-493.3585942880936,30001,1,0.828125
maes,dummy,bbob_f003_i77_d02,2,140.09337703355186,30001,1,0.8125
maes,dummy,bbob_f003_i78_d02,2,49.8858875035086,30001,1,0.78125
maes,dummy,bbob_f003_i79_d02,2,183.4053076164604,30001,1,0.8125
maes,dummy,bbob_f003_i80_d02,2,192.82186996851877,30001,1,0.828125
maes,dummy,bbob_f004_i01_d02,2,-397.9116746968951,30001,1,0.796875
maes,dummy,bbob_f004_i02_d02,2,152.64145360462123,30001,1,0.796875
maes,dummy,bbob_f004_i03_d02,2,133.0651600859664,30001,1,0.78125
maes,dummy,bbob_f004_i04_d02,2,41.05637347992933,30001,1,0.796875
maes,dummy,bbob_f004_i05_d02,2,159.38184766986842,30001,1,0.78125
maes,dummy,bbob_f004_i71_d02,2,13.483894623803486,30001,1,0.78125
maes,dummy,bbob_f004_i72_d02,2,124.09065506017805,30001,1,0.75
maes,dummy,bbob_f004_i73_d02,2,334.34716987135005,30001,1,0.8125
maes,dummy,bbob_f004_i74_d02,2,-17.88389239239445,30001,1,0.78125
maes,dummy,bbob_f004_i75_d02,2,-3.3692249650786152,30001,1,0.796875
maes,dummy,bbob_f004_i76_d02,2,-199.54504201379967,30001,1,0.859375
maes,dummy,bbob_f004_i77_d02,2,312.8142998618456,30001,1,0.859375
maes,dummy,bbob_f004_i78_d02,2,435.7950834799976,30001,1,0.84375
maes,dummy,bbob_f004_i79_d02,2,224.14252648233793,30001,1,0.859375
maes,dummy,bbob_f004_i80_d02,2,86.5584915802414,30001,1,0.90625
maes,dummy,bbob_f005_i01_d02,2,21.57735214341192,30001,1,0.84375
maes,dummy,bbob_f005_i02_d02,2,731.0933516271118,30001,1,0.859375
maes,dummy,bbob_f005_i03_d02,2,77.54079005986344,30001,1,0.8125
maes,dummy,bbob_f005_i04_d02,2,941.67,30001,1,0.734375
maes,dummy,bbob_f005_i05_d02,2,-16.670785943413833,30001,1,0.71875
maes,dummy,bbob_f005_i71_d02,2,-63.125391557939544,30001,1,0.6875
maes,dummy,bbob_f005_i72_d02,2,-181.46309679349764,30001,1,0.703125
maes,dummy,bbob_f005_i73_d02,2,1035.9369987169516,30001,1,0.75
maes,dummy,bbob_f005_i74_d02,2,-112.51279787473442,30001,1,0.8125
maes,dummy,bbob_f005_i75_d02,2,-90.73169973989023,30001,1,0.765625
maes,dummy,bbob_f005_i76_d02,2,99.8398765612307,30001,1,0.8125
maes,dummy,bbob_f005_i77_d02,2,149.59,30001,1,0.765625
maes,dummy,bbob_f005_i78_d02,2,-1000.0,30001,1,0.75
maes,dummy,bbob_f005_i79_d02,2,-16.278378994429143,30001,1,0.75
maes,dummy,bbob_f005_i80_d02,2,-37.41319619116401,30001,1,0.78125
maes,dummy,bbob_f006_i01_d02,2,45015.704956527734,30001,1,0.921875
maes,dummy,bbob_f006_i02_d02,2,56.624244720077726,30001,1,0.828125
maes,dummy,bbob_f006_i03_d02,2,35734.263402737284,30001,1,0.796875
maes,dummy,bbob_f006_i04_d02,2,213.09221470036218,30001,1,0.796875
maes,dummy,bbob_f006_i05_d02,2,610.0932655449668,30001,1,0.78125
maes,dummy,bbob_f006_i71_d02,2,8403.307970929882,30001,1,0.78125
maes,dummy,bbob_f006_i72_d02,2,138.64236293194477,30001,1,0.78125
maes,dummy,bbob_f006_i73_d02,2,177.1813141053881,30001,1,0.78125
maes,dummy,bbob_f006_i74_d02,2,245171.39985140835,30001,1,0.796875
maes,dummy,bbob_f006_i75_d02,2,10468.850711336467,30001,1,0.75
maes,dummy,bbob_f006_i76_d02,2,98.33239938558899,30001,1,0.765625
maes,dummy,bbob_f006_i77_d02,2,1436.0273092731659,30001,1,0.8125
maes,dummy,bbob_f006_i78_d02,2,2886.191285207791,30001,1,0.78125
maes,dummy,bbob_f006_i79_d02,2,686.0372469971085,30001,1,0.765625
maes,dummy,bbob_f006_i80_d02,2,41.72882892776198,30001,1,0.8125
maes,dummy,bbob_f007_i01_d02,2,99.673992210227,30001,1,0.765625
maes,dummy,bbob_f007_i02_d02,2,125.3524077793696,30001,1,0.78125
maes,dummy,bbob_f007_i03_d02,2,5.8167590074407265,30001,1,0.890625
maes,dummy,bbob_f007_i04_d02,2,71.2446895648886,30001,1,0.859375
maes,dummy,bbob_f007_i05_d02,2,67.31150660825779,30001,1,0.859375
maes,dummy,bbob_f007_i71_d02,2,-399.7433748748864,30001,1,0.875
