optimizer,wrapper,problem_id,dimension,best_fitness,evaluations,sweep,time_one_iteration,param_stagnation_limit,param_pop_increase_factor
cmaes,stagnation_restart,bbob_f001_i01_d02,2,79.48001895852722,30001,1,0.70787537,30,2
cmaes,stagnation_restart,bbob_f001_i02_d02,2,441.5597852563407,30001,1,0.7123738,30,2
cmaes,stagnation_restart,bbob_f001_i03_d02,2,-197.95408367673804,30001,1,0.70799135,30,2
cmaes,stagnation_restart,bbob_f001_i04_d02,2,-151.71301813587618,30001,1,0.7046689,30,2
cmaes,stagnation_restart,bbob_f001_i05_d02,2,-25.249965878851132,30001,1,0.71828458,30,2
cmaes,stagnation_restart,bbob_f001_i71_d02,2,183.0173418308582,30001,1,0.71219275,30,2
cmaes,stagnation_restart,bbob_f001_i72_d02,2,183.5238675770598,30001,1,0.69566911,30,2
cmaes,stagnation_restart,bbob_f001_i73_d02,2,-593.8370238745536,30001,1,0.69361628,30,2
cmaes,stagnation_restart,bbob_f001_i74_d02,2,-997.1623622925405,30001,1,0.6947611,30,2
cmaes,stagnation_restart,bbob_f001_i75_d02,2,-20.727226314364888,30001,1,0.69496184,30,2
cmaes,stagnation_restart,bbob_f001_i76_d02,2,50.537892349888814,30001,1,0.69652207,30,2
cmaes,stagnation_restart,bbob_f001_i77_d02,2,356.14121118450055,30001,1,0.69528621,30,2
cmaes,stagnation_restart,bbob_f001_i78_d02,2,-475.69983709421655,30001,1,0.69516159,30,2
cmaes,stagnation_restart,bbob_f001_i79_d02,2,-999.8546051296458,30001,1,0.6945131,30,2
cmaes,stagnation_restart,bbob_f001_i80_d02,2,-41.5226621571604,30001,1,0.69388706,30,2
cmaes,stagnation_restart,bbob_f002_i01_d02,2,-191.7014486467827,30001,1,0.70695166,30,2
cmaes,stagnation_restart,bbob_f002_i02_d02,2,-85.66407795964552,30001,1,0.70417487,30,2
cmaes,stagnation_restart,bbob_f002_i03_d02,2,-66.20259897245388,30001,1,0.70869233,30,2
cmaes,stagnation_restart,bbob_f002_i04_d02,2,633.8626914075378,30001,1,0.70542374,30,2
cmaes,stagnation_restart,bbob_f002_i05_d02,2,-101.25221998137255,30001,1,0.71260284,30,2
cmaes,stagnation_restart,bbob_f002_i71_d02,2,-59.81972707688206,30001,1,0.70500819,30,2
cmaes,stagnation_restart,bbob_f002_i72_d02,2,-338.98816155095653,30001,1,0.70531675,30,2
cmaes,stagnation_restart,bbob_f002_i73_d02,2,37851.312363243924,30001,1,0.72319621,30,2
cmaes,stagnation_restart,bbob_f002_i74_d02,2,185.13097066296854,30001,1,0.73347506,30,2
cmaes,stagnation_restart,bbob_f002_i75_d02,2,inf,30001,1,0.71031784,30,2
cmaes,stagnation_restart,bbob_f002_i76_d02,2,86.15310344675302,30001,1,0.72827545,30,2
cmaes,stagnation_restart,bbob_f002_i77_d02,2,148.51340380910466,30001,1,0.73291608,30,2
cmaes,stagnation_restart,bbob_f002_i78_d02,2,247051.32588544936,30001,1,0.72248939,30,2
cmaes,stagnation_restart,bbob_f002_i79_d02,2,136.136298319757,30001,1,0.72162819,30,2
cmaes,stagnation_restart,bbob_f002_i80_d02,2,593.2640368609883,30001,1,0.72304177,30,2
cmaes,stagnation_restart,bbob_f003_i01_d02,2,-417.18976157244737,30001,1,0.7261447,30,2
cmaes,stagnation_restart,bbob_f003_i02_d02,2,79.01396096776982,30001,1,0.7270282,30,2
cmaes,stagnation_restart,bbob_f003_i03_d02,2,117.40643949972909,30001,1,0.72110973,30,2
cmaes,stagnation_restart,bbob_f003_i04_d02,2,13.662693910465393,30001,1,0.72716535,30,2
cmaes,stagnation_restart,bbob_f003_i05_d02,2,133.22859888725543,30001,1,0.7233023,30,2
cmaes,stagnation_restart,bbob_f003_i71_d02,2,-39.137829548577585,30001,1,0.71792248,30,2
cmaes,stagnation_restart,bbob_f003_i72_d02,2,46.137321490143506,30001,1,0.72633209,30,2
cmaes,stagnation_restart,bbob_f003_i73_d02,2,292.33540483708896,30001,1,0.7168881,30,2
cmaes,stagnation_restart,bbob_f003_i74_d02,2,-29.725593388287585,30001,1,0.71723264,30,2
cmaes,stagnation_restart,bbob_f003_i75_d02,2,-55.87650539497523,30001,1,0.72269842,30,2
cmaes,stagnation_restart,bbob_f003_i76_d02,2,-576.2910597325514,30001,1,0.71385133,30,2
cmaes,stagnation_restart,bbob_f003_i77_d02,2,146.6180436530559,30001,1,0.72414488,30,2
cmaes,stagnation_restart,bbob_f003_i78_d02,2,-16.924406665828357,30001,1,0.74050093,30,2
cmaes,stagnation_restart,bbob_f003_i79_d02,2,145.3702336817478,30001,1,0.7188392,30,2
cmaes,stagnation_restart,bbob_f003_i80_d02,2,67.9101909164818,30001,1,0.73238297,30,2
cmaes,stagnation_restart,bbob_f004_i01_d02,2,-447.0511758375,30001,1,0.72599103,30,2
cmaes,stagnation_restart,bbob_f004_i02_d02,2,84.37112411601775,30001,1,0.72782283,30,2
cmaes,stagnation_restart,bbob_f004_i03_d02,2,141.2578586637668,30001,1,0.72865622,30,2
cmaes,stagnation_restart,bbob_f004_i04_d02,2,12.956199339634008,30001,1,0.71171581,30,2
cmaes,stagnation_restart,bbob_f004_i05_d02,2,145.91140077852157,30001,1,0.71503344,30,2
cmaes,stagnation_restart,bbob_f004_i71_d02,2,-30.339711298541992,30001,1,0.72559049,30,2
cmaes,stagnation_restart,bbob_f004_i72_d02,2,62.60081626335964,30001,1,0.71360919,30,2
cmaes,stagnation_restart,bbob_f004_i73_d02,2,318.167290719034,30001,1,0.73539477,30,2
cmaes,stagnation_restart,bbob_f004_i74_d02,2,-28.06980651121278,30001,1,0.72236183,30,2
cmaes,stagnation_restart,bbob_f004_i75_d02,2,-54.53647169817576,30001,1,0.72548572,30,2
cmaes,stagnation_restart,bbob_f004_i76_d02,2,-594.8206686959677,30001,1,0.72475108,30,2
cmaes,stagnation_restart,bbob_f004_i77_d02,2,142.66299678801946,30001,1,0.73744013,30,2
cmaes,stagnation_restart,bbob_f004_i78_d02,2,13.996875847221059,30001,1,0.7157263,30,2
cmaes,stagnation_restart,bbob_f004_i79_d02,2,145.22822366565697,30001,1,0.72575247,30,2
cmaes,stagnation_restart,bbob_f004_i80_d02,2,45.67981881483034,30001,1,0.71515768,30,2
cmaes,stagnation_restart,bbob_f005_i01_d02,2,-5.076651654252805,30001,1,0.71342875,30,2
cmaes,stagnation_restart,bbob_f005_i02_d02,2,655.99,30001,1,0.72758526,30,2
cmaes,stagnation_restart,bbob_f005_i03_d02,2,66.77221787081696,30001,1,0.71024613,30,2
cmaes,stagnation_restart,bbob_f005_i04_d02,2,941.67,30001,1,0.70647803,30,2
cmaes,stagnation_restart,bbob_f005_i05_d02,2,-37.45,30001,1,0.71318624,30,2
