optimizer,wrapper,problem_id,dimension,best_fitness,evaluations,sweep,time_one_iteration,param_stagnation_limit,param_pop_increase_factor
maes,stagnation_restart,bbob_f001_i01_d02,2,86.42361377948008,30001,1,0.625,30,2
maes,stagnation_restart,bbob_f001_i02_d02,2,423.2373809055213,30001,1,0.671875,30,2
maes,stagnation_restart,bbob_f001_i03_d02,2,-234.82169468713033,30001,1,0.609375,30,2
maes,stagnation_restart,bbob_f001_i04_d02,2,-148.51432302488925,30001,1,0.640625,30,2
maes,stagnation_restart,bbob_f001_i05_d02,2,-10.025130995241156,30001,1,0.65625,30,2
maes,stagnation_restart,bbob_f001_i71_d02,2,188.6692229892575,30001,1,0.640625,30,2
maes,stagnation_restart,bbob_f001_i72_d02,2,203.63754236552654,30001,1,0.609375,30,2
maes,stagnation_restart,bbob_f001_i73_d02,2,-556.751989257268,30001,1,0.625,30,2
maes,stagnation_restart,bbob_f001_i74_d02,2,-983.9134817494645,30001,1,0.609375,30,2
maes,stagnation_restart,bbob_f001_i75_d02,2,-25.266860486549934,30001,1,0.609375,30,2
maes,stagnation_restart,bbob_f001_i76_d02,2,45.0308381512017,30001,1,0.609375,30,2
maes,stagnation_restart,bbob_f001_i77_d02,2,360.1586108880882,30001,1,0.625,30,2
maes,stagnation_restart,bbob_f001_i78_d02,2,-468.7874416315993,30001,1,0.625,30,2
maes,stagnation_restart,bbob_f001_i79_d02,2,-999.99394252007,30001,1,0.65625,30,2
maes,stagnation_restart,bbob_f001_i80_d02,2,-37.455672801822594,30001,1,0.625,30,2
maes,stagnation_restart,bbob_f002_i01_d02,2,11415514.395959368,30001,1,0.640625,30,2
maes,stagnation_restart,bbob_f002_i02_d02,2,870.2706221545312,30001,1,0.625,30,2
maes,stagnation_restart,bbob_f002_i03_d02,2,92194.75755549248,30001,1,0.625,30,2
maes,stagnation_restart,bbob_f002_i04_d02,2,508985.23977259715,30001,1,0.640625,30,2
maes,stagnation_restart,bbob_f002_i05_d02,2,34932110.121632956,30001,1,0.65625,30,2
maes,stagnation_restart,bbob_f002_i71_d02,2,2848618.8494264684,30001,1,0.609375,30,2
maes,stagnation_restart,bbob_f002_i72_d02,2,9113166.851538712,30001,1,0.625,30,2
maes,stagnation_restart,bbob_f002_i73_d02,2,640291.465236674,30001,1,0.640625,30,2
