optimizer,wrapper,problem_id,dimension,best_fitness,evaluations,sweep,time_one_iteration,param_evaluation_window,param_improvement_threshold,param_pop_increase_factor
maes,threshold_reset,bbob_f001_i01_d02,2,86.5467593051035,30001,1,0.75,10,0.001,2
maes,threshold_reset,bbob_f001_i02_d02,2,399.54977326825275,30001,1,0.765625,10,0.001,2
maes,threshold_reset,bbob_f001_i03_d02,2,-219.8861832053915,30001,1,0.765625,10,0.001,2
maes,threshold_reset,bbob_f001_i04_d02,2,-122.06277778774854,30001,1,0.734375,10,0.001,2
maes,threshold_reset,bbob_f001_i05_d02,2,-18.678117272697577,30001,1,0.734375,10,0.001,2
maes,threshold_reset,bbob_f001_i71_d02,2,184.18377715416707,30001,1,0.71875,10,0.001,2
maes,threshold_reset,bbob_f001_i72_d02,2,205.43538908446482,30001,1,0.75,10,0.001,2
maes,threshold_reset,bbob_f001_i73_d02,2,-587.9881104501397,30001,1,0.75,10,0.001,2
maes,threshold_reset,bbob_f001_i74_d02,2,-991.3816730551556,30001,1,0.75,10,0.001,2
maes,threshold_reset,bbob_f001_i75_d02,2,-12.653198459029573,30001,1,0.75,10,0.001,2
maes,threshold_reset,bbob_f001_i76_d02,2,23.255663224195274,30001,1,0.734375,10,0.001,2
maes,threshold_reset,bbob_f001_i77_d02,2,360.1664924704344,30001,1,0.75,10,0.001,2
maes,threshold_reset,bbob_f001_i78_d02,2,-475.27568794524655,30001,1,0.71875,10,0.001,2
maes,threshold_reset,bbob_f001_i79_d02,2,-967.0918196998273,30001,1,0.75,10,0.001,2
maes,threshold_reset,bbob_f001_i80_d02,2,-41.364263391123544,30001,1,0.75,10,0.001,2
maes,threshold_reset,bbob_f002_i01_d02,2,3734.5116039586046,30001,1,0.75,10,0.001,2
maes,threshold_reset,bbob_f002_i02_d02,2,30379257.754365172,30001,1,0.75,10,0.001,2
maes,threshold_reset,bbob_f002_i03_d02,2,2264398.1764847455,30001,1,0.765625,10,0.001,2
maes,threshold_reset,bbob_f002_i04_d02,2,29965755.720202662,30001,1,0.734375,10,0.001,2
maes,threshold_reset,bbob_f002_i05_d02,2,36924955.12328574,30001,1,0.765625,10,0.001,2
maes,threshold_reset,bbob_f002_i71_d02,2,2822545.6887670304,30001,1,0.75,10,0.001,2
