optimizer,wrapper,problem_id,dimension,best_fitness,evaluations,sweep,time_one_iteration,param_restart_budget,param_pop_increase_factor
maes,budget_reset,bbob_f001_i01_d02,2,80.84363160099646,6001,1,0.11227353,10000,2
maes,budget_reset,bbob_f001_i02_d02,2,394.5469763716115,6001,1,0.11374122,10000,2
maes,budget_reset,bbob_f001_i03_d02,2,-210.96601790429966,6001,1,0.11337056,10000,2
maes,budget_reset,bbob_f001_i04_d02,2,-140.09322419216258,6001,1,0.113569,10000,2
maes,budget_reset,bbob_f001_i05_d02,2,-19.83026519467884,6001,1,0.11221878,10000,2
maes,budget_reset,bbob_f001_i71_d02,2,207.8352593303701,6001,1,0.11217605,10000,2
maes,budget_reset,bbob_f001_i72_d02,2,205.71310907356863,6001,1,0.11233943,10000,2
maes,budget_reset,bbob_f001_i73_d02,2,-555.7516494188832,6001,1,0.11190067,10000,2
maes,budget_reset,bbob_f001_i74_d02,2,-995.445589691196,6001,1,0.11209781,10000,2
maes,budget_reset,bbob_f001_i75_d02,2,-14.994601378538244,6001,1,0.11257604,10000,2
maes,budget_reset,bbob_f001_i76_d02,2,27.045938646081787,6001,1,0.1122179,10000,2
maes,budget_reset,bbob_f001_i77_d02,2,361.02830759565694,6001,1,0.1151837,10000,2
maes,budget_reset,bbob_f001_i78_d02,2,-474.9320784405074,6001,1,0.11215753,10000,2
maes,budget_reset,bbob_f001_i79_d02,2,-998.4905902685416,6001,1,0.11190552,10000,2
maes,budget_reset,bbob_f001_i80_d02,2,-35.736635043460296,6001,1,0.11236237,10000,2
maes,budget_reset,bbob_f002_i01_d02,2,-208.90527511666133,6001,1,0.11477929,10000,2
maes,budget_reset,bbob_f002_i02_d02,2,27864241.55267962,6001,1,0.11385054,10000,2
maes,budget_reset,bbob_f002_i03_d02,2,1660.9956706306125,6001,1,0.11469514,10000,2
maes,budget_reset,bbob_f002_i04_d02,2,7899380.315462036,6001,1,0.11437648,10000,2
maes,budget_reset,bbob_f002_i05_d02,2,351735.4114823075,6001,1,0.11469551,10000,2
maes,budget_reset,bbob_f002_i71_d02,2,5362070.595456026,6001,1,0.11437627,10000,2
maes,budget_reset,bbob_f002_i72_d02,2,2723120.2028514463,6001,1,0.1143633,10000,2
maes,budget_reset,bbob_f002_i73_d02,2,778920.8620880976,6001,1,0.11477529,10000,2
maes,budget_reset,bbob_f002_i74_d02,2,130650.15286629707,6001,1,0.11542686,10000,2
maes,budget_reset,bbob_f002_i75_d02,2,82188.65700996848,6001,1,0.11510427,10000,2
maes,budget_reset,bbob_f002_i76_d02,2,264077.2376565172,6001,1,0.11504849,10000,2
maes,budget_reset,bbob_f002_i77_d02,2,5986051.4685219,6001,1,0.11547547,10000,2
maes,budget_reset,bbob_f002_i78_d02,2,1615640.7510305296,6001,1,0.11687077,10000,2
maes,budget_reset,bbob_f002_i79_d02,2,214805.76756268909,6001,1,0.11544161,10000,2
maes,budget_reset,bbob_f002_i80_d02,2,701.38222653859,6001,1,0.11529105,10000,2
maes,budget_reset,bbob_f003_i01_d02,2,-404.23487282229064,6001,1,0.11609216,10000,2
maes,budget_reset,bbob_f003_i02_d02,2,125.5650987156377,6001,1,0.11924948,10000,2
maes,budget_reset,bbob_f003_i03_d02,2,780.1300582718375,6001,1,0.11548688,10000,2
maes,budget_reset,bbob_f003_i04_d02,2,13.813751327874176,6001,1,0.11561141,10000,2
maes,budget_reset,bbob_f003_i05_d02,2,186.7170438028265,6001,1,0.11586476,10000,2
maes,budget_reset,bbob_f003_i71_d02,2,-26.004567914111,6001,1,0.11567525,10000,2
maes,budget_reset,bbob_f003_i72_d02,2,234.6703790232893,6001,1,0.11509997,10000,2
maes,budget_reset,bbob_f003_i73_d02,2,336.0351694206043,6001,1,0.11583727,10000,2
maes,budget_reset,bbob_f003_i74_d02,2,-23.173835770076497,6001,1,0.11527026,10000,2
maes,budget_reset,bbob_f003_i75_d02,2,480.0900431446152,6001,1,0.11533538,10000,2
maes,budget_reset,bbob_f003_i76_d02,2,-553.2774003743991,6001,1,0.11587072,10000,2
maes,budget_reset,bbob_f003_i77_d02,2,135.4118830620842,6001,1,0.11536655,10000,2
maes,budget_reset,bbob_f003_i78_d02,2,263.2828141623415,6001,1,0.11564075,10000,2
maes,budget_reset,bbob_f003_i79_d02,2,236.68278047800092,6001,1,0.1155034,10000,2
maes,budget_reset,bbob_f003_i80_d02,2,249.88416953357554,6001,1,0.11553909,10000,2
maes,budget_reset,bbob_f004_i01_d02,2,-456.6258759737491,6001,1,0.11519457,10000,2
maes,budget_reset,bbob_f004_i02_d02,2,304.4690096020283,6001,1,0.11587278,10000,2
maes,budget_reset,bbob_f004_i03_d02,2,288.51661615217876,6001,1,0.11582546,10000,2
maes,budget_reset,bbob_f004_i04_d02,2,49.679964267038315,6001,1,0.11680549,10000,2
maes,budget_reset,bbob_f004_i05_d02,2,189.2949152598789,6001,1,0.11611402,10000,2
maes,budget_reset,bbob_f004_i71_d02,2,18.920899602316254,6001,1,0.11599537,10000,2
maes,budget_reset,bbob_f004_i72_d02,2,92.3190429168043,6001,1,0.11527103,10000,2
maes,budget_reset,bbob_f004_i73_d02,2,294.5293262096376,6001,1,0.11723061,10000,2
maes,budget_reset,bbob_f004_i74_d02,2,67.71991753415408,6001,1,0.11622094,10000,2
maes,budget_reset,bbob_f004_i75_d02,2,353.4378291035006,6001,1,0.11721,10000,2
maes,budget_reset,bbob_f004_i76_d02,2,222.69472281533706,6001,1,0.11621841,10000,2
maes,budget_reset,bbob_f004_i77_d02,2,414.90068431873743,6001,1,0.11667336,10000,2
maes,budget_reset,bbob_f004_i78_d02,2,39.97277434234719,6001,1,0.11670875,10000,2
maes,budget_reset,bbob_f004_i79_d02,2,226.52406965575653,6001,1,0.11710104,10000,2
maes,budget_reset,bbob_f004_i80_d02,2,42.51281599894067,6001,1,0.11640347,10000,2
maes,budget_reset,bbob_f005_i01_d02,2,-2.4400943328584432,6001,1,0.11179062,10000,2
maes,budget_reset,bbob_f005_i02_d02,2,655.99,6001,1,0.11301779,10000,2
maes,budget_reset,bbob_f005_i03_d02,2,84.30467139421003,6001,1,0.11381992,10000,2
maes,budget_reset,bbob_f005_i04_d02,2,986.1075450566692,6001,1,0.11363021,10000,2
maes,budget_reset,bbob_f005_i05_d02,2,-33.11118092669299,6001,1,0.11329021,10000,2
maes,budget_reset,bbob_f005_i71_d02,2,-22.931786926456375,6001,1,0.11359061,10000,2
maes,budget_reset,bbob_f005_i72_d02,2,-221.8538845806231,6001,1,0.1121053,10000,2
maes,budget_reset,bbob_f005_i73_d02,2,1000.0,6001,1,0.11271086,10000,2
maes,budget_reset,bbob_f005_i74_d02,2,-183.02,6001,1,0.1116338,10000,2
maes,budget_reset,bbob_f005_i75_d02,2,-83.79328087197334,6001,1,0.11270113,10000,2
maes,budget_reset,bbob_f005_i76_d02,2,105.57682457738777,6001,1,0.11340969,10000,2
maes,budget_reset,bbob_f005_i77_d02,2,174.81923414671255,6001,1,0.11249046,10000,2
maes,budget_reset,bbob_f005_i78_d02,2,-983.8497053032733,6001,1,0.11282847,10000,2
maes,budget_reset,bbob_f005_i79_d02,2,-24.940163489157843,6001,1,0.11558145,10000,2
maes,budget_reset,bbob_f005_i80_d02,2,18.697024140917392,6001,1,0.11548503,10000,2
maes,budget_reset,bbob_f006_i01_d02,2,66.95245586283451,6001,1,0.11644174,10000,2
maes,budget_reset,bbob_f006_i02_d02,2,287962.6903050705,6001,1,0.1161755,10000,2
maes,budget_reset,bbob_f006_i03_d02,2,-979.1305762017024,6001,1,0.11677749,10000,2
maes,budget_reset,bbob_f006_i04_d02,2,156.1797535948061,6001,1,0.1173163,10000,2
maes,budget_reset,bbob_f006_i05_d02,2,9149.965538701807,6001,1,0.11512062,10000,2
maes,budget_reset,bbob_f006_i71_d02,2,47433.2933620351,6001,1,0.11471024,10000,2
maes,budget_reset,bbob_f006_i72_d02,2,120.58940575374882,6001,1,0.11447348,10000,2
maes,budget_reset,bbob_f006_i73_d02,2,-10.121291744739208,6001,1,0.11479153,10000,2
maes,budget_reset,bbob_f006_i74_d02,2,539.8997369560948,6001,1,0.11518059,10000,2
maes,budget_reset,bbob_f006_i75_d02,2,157006.53618023533,6001,1,0.11467262,10000,2
maes,budget_reset,bbob_f006_i76_d02,2,17531.682981189813,6001,1,0.11455402,10000,2
maes,budget_reset,bbob_f006_i77_d02,2,1041.476688329564,6001,1,0.11386263,10000,2
maes,budget_reset,bbob_f006_i78_d02,2,56770.107720454784,6001,1,0.11481395,10000,2
maes,budget_reset,bbob_f006_i79_d02,2,1311.7916652427423,6001,1,0.11521308,10000,2
maes,budget_reset,bbob_f006_i80_d02,2,-118.4534833232649,6001,1,0.11741699,10000,2
maes,budget_reset,bbob_f007_i01_d02,2,398.2718523950845,6001,1,0.111983,10000,2
maes,budget_reset,bbob_f007_i02_d02,2,43.19413733273336,6001,1,0.11216349,10000,2
maes,budget_reset,bbob_f007_i03_d02,2,3.840491621696191,6001,1,0.1126026,10000,2
maes,budget_reset,bbob_f007_i04_d02,2,217.46523208862146,6001,1,0.11276295,10000,2
maes,budget_reset,bbob_f007_i05_d02,2,525.7884238352217,6001,1,0.11281592,10000,2
maes,budget_reset,bbob_f007_i71_d02,2,-910.5993929023323,6001,1,0.11302291,10000,2
maes,budget_reset,bbob_f007_i72_d02,2,201.42912992628303,6001,1,0.1129979,10000,2
