optimizer,wrapper,problem_id,dimension,best_fitness,evaluations,sweep,time_one_iteration,param_stagnation_limit,param_pop_increase_factor
maes,stagnation_restart,bbob_f001_i01_d02,2,79.54770920329786,6001,1,0.11458468,30,2
maes,stagnation_restart,bbob_f001_i02_d02,2,454.56931897336256,6001,1,0.1142692,30,2
maes,stagnation_restart,bbob_f001_i03_d02,2,-224.7638644524948,6001,1,0.11685245,30,2
maes,stagnation_restart,bbob_f001_i04_d02,2,-149.38100984316023,6001,1,0.11653687,30,2
maes,stagnation_restart,bbob_f001_i05_d02,2,19.99259217452328,6001,1,0.11664456,30,2
maes,stagnation_restart,bbob_f001_i71_d02,2,198.4613928371811,6001,1,0.11639364,30,2
maes,stagnation_restart,bbob_f001_i72_d02,2,inf,6001,1,0.11618466,30,2
maes,stagnation_restart,bbob_f001_i73_d02,2,-593.4472323873014,6001,1,0.11436925,30,2
maes,stagnation_restart,bbob_f001_i74_d02,2,inf,6001,1,0.1141193,30,2
maes,stagnation_restart,bbob_f001_i75_d02,2,-6.56259815483897,6001,1,0.11584716,30,2
maes,stagnation_restart,bbob_f001_i76_d02,2,22.803343017642828,6001,1,0.11527944,30,2
maes,stagnation_restart,bbob_f001_i77_d02,2,356.1879203436904,6001,1,0.11590031,30,2
maes,stagnation_restart,bbob_f001_i78_d02,2,-440.3862870706175,6001,1,0.11594809,30,2
maes,stagnation_restart,bbob_f001_i79_d02,2,-943.7059587407186,6001,1,0.11630231,30,2
maes,stagnation_restart,bbob_f001_i80_d02,2,-41.054176584782674,6001,1,0.11580696,30,2
maes,stagnation_restart,bbob_f002_i01_d02,2,7210228.072919861,6001,1,0.11831696,30,2
maes,stagnation_restart,bbob_f002_i02_d02,2,1104.948870524922,6001,1,0.11709694,30,2
maes,stagnation_restart,bbob_f002_i03_d02,2,27011653.038356017,6001,1,0.11789355,30,2
maes,stagnation_restart,bbob_f002_i04_d02,2,2048690.5905645012,6001,1,0.11839903,30,2
maes,stagnation_restart,bbob_f002_i05_d02,2,44641346.986766376,6001,1,0.11712921,30,2
maes,stagnation_restart,bbob_f002_i71_d02,2,906198.8688422753,6001,1,0.11946027,30,2
maes,stagnation_restart,bbob_f002_i72_d02,2,2433.546096067893,6001,1,0.11667821,30,2
maes,stagnation_restart,bbob_f002_i73_d02,2,27137127.986254375,6001,1,0.11681544,30,2
maes,stagnation_restart,bbob_f002_i74_d02,2,4023334.071565828,6001,1,0.11684875,30,2
maes,stagnation_restart,bbob_f002_i75_d02,2,4864609.262636788,6001,1,0.11722598,30,2
maes,stagnation_restart,bbob_f002_i76_d02,2,1977.9382126186792,6001,1,0.11704723,30,2
maes,stagnation_restart,bbob_f002_i77_d02,2,785676.7695657399,6001,1,0.11708134,30,2
