optimizer,wrapper,problem_id,dimension,best_fitness,evaluations,sweep,time_one_iteration,param_evaluation_window,param_improvement_threshold,param_pop_increase_factor
maes,threshold_reset,bbob_f001_i01_d02,2,80.1623523494991,6001,1,0.12727465,10,0.001,2
maes,threshold_reset,bbob_f001_i02_d02,2,413.7365014183619,6001,1,0.12704292,10,0.001,2
maes,threshold_reset,bbob_f001_i03_d02,2,-246.47678487795494,6001,1,0.12745094,10,0.001,2
maes,threshold_reset,bbob_f001_i04_d02,2,-147.94038773774136,6001,1,0.12845409,10,0.001,2
maes,threshold_reset,bbob_f001_i05_d02,2,3.930407964675055,6001,1,0.13554435,10,0.001,2
maes,threshold_reset,bbob_f001_i71_d02,2,187.4796941257129,6001,1,0.1276813,10,0.001,2
maes,threshold_reset,bbob_f001_i72_d02,2,203.94568294452864,6001,1,0.13933909,10,0.001,2
maes,threshold_reset,bbob_f001_i73_d02,2,-581.7551680177055,6001,1,0.12857559,10,0.001,2
maes,threshold_reset,bbob_f001_i74_d02,2,-999.6894503405243,6001,1,0.13104442,10,0.001,2
maes,threshold_reset,bbob_f001_i75_d02,2,66.67501744327059,6001,1,0.13204685,10,0.001,2
maes,threshold_reset,bbob_f001_i76_d02,2,inf,6001,1,0.12318197,10,0.001,2
maes,threshold_reset,bbob_f001_i77_d02,2,371.4530711188028,6001,1,0.12331259,10,0.001,2
maes,threshold_reset,bbob_f001_i78_d02,2,-472.32801704593703,6001,1,0.12374792,10,0.001,2
maes,threshold_reset,bbob_f001_i79_d02,2,-987.7169343360097,6001,1,0.1251319,10,0.001,2
maes,threshold_reset,bbob_f001_i80_d02,2,-39.72338339624546,6001,1,0.12655884,10,0.001,2
maes,threshold_reset,bbob_f002_i01_d02,2,108682.12307612262,6001,1,0.12883322,10,0.001,2
maes,threshold_reset,bbob_f002_i02_d02,2,3622485.884473219,6001,1,0.12827418,10,0.001,2
maes,threshold_reset,bbob_f002_i03_d02,2,36465708.57297664,6001,1,0.12759396,10,0.001,2
maes,threshold_reset,bbob_f002_i04_d02,2,22063083.238662727,6001,1,0.13111988,10,0.001,2
maes,threshold_reset,bbob_f002_i05_d02,2,7496809.565736777,6001,1,0.13480316,10,0.001,2
maes,threshold_reset,bbob_f002_i71_d02,2,86116.1322703769,6001,1,0.13072913,10,0.001,2
maes,threshold_reset,bbob_f002_i72_d02,2,318142.251246562,6001,1,0.12887452,10,0.001,2
maes,threshold_reset,bbob_f002_i73_d02,2,181.89041935904478,6001,1,0.12843824,10,0.001,2
maes,threshold_reset,bbob_f002_i74_d02,2,169674.3129850278,6001,1,0.12988233,10,0.001,2
maes,threshold_reset,bbob_f002_i75_d02,2,4968261.420537547,6001,1,0.13680108,10,0.001,2
maes,threshold_reset,bbob_f002_i76_d02,2,20965719.99368812,6001,1,0.12916679,10,0.001,2
maes,threshold_reset,bbob_f002_i77_d02,2,52.974094489494846,6001,1,0.12666376,10,0.001,2
maes,threshold_reset,bbob_f002_i78_d02,2,5726825.797215922,6001,1,0.12625456,10,0.001,2
maes,threshold_reset,bbob_f002_i79_d02,2,206.93369340513726,6001,1,0.13582986,10,0.001,2
maes,threshold_reset,bbob_f002_i80_d02,2,97265.04375073826,6001,1,0.13648498,10,0.001,2
maes,threshold_reset,bbob_f003_i01_d02,2,-402.30652093977807,6001,1,0.13251764,10,0.001,2
maes,threshold_reset,bbob_f003_i02_d02,2,107.73180614092003,6001,1,0.13506632,10,0.001,2
maes,threshold_reset,bbob_f003_i03_d02,2,203.65753302395115,6001,1,0.13782173,10,0.001,2
maes,threshold_reset,bbob_f003_i04_d02,2,40.706353684695074,6001,1,0.12938191,10,0.001,2
maes,threshold_reset,bbob_f003_i05_d02,2,263.1726251865375,6001,1,0.13233324,10,0.001,2
maes,threshold_reset,bbob_f003_i71_d02,2,140.07885498673113,6001,1,0.14233227,10,0.001,2
maes,threshold_reset,bbob_f003_i72_d02,2,68.72625579429504,6001,1,0.12900944,10,0.001,2
maes,threshold_reset,bbob_f003_i73_d02,2,673.7787047922859,6001,1,0.12812359,10,0.001,2
maes,threshold_reset,bbob_f003_i74_d02,2,-21.878114595949317,6001,1,0.12935012,10,0.001,2
maes,threshold_reset,bbob_f003_i75_d02,2,1213.7570936107209,6001,1,0.12914867,10,0.001,2
maes,threshold_reset,bbob_f003_i76_d02,2,-595.5657223533498,6001,1,0.12745024,10,0.001,2
maes,threshold_reset,bbob_f003_i77_d02,2,162.88551597620923,6001,1,0.1299387,10,0.001,2
maes,threshold_reset,bbob_f003_i78_d02,2,119.76514131464525,6001,1,0.12836387,10,0.001,2
maes,threshold_reset,bbob_f003_i79_d02,2,150.31906550443307,6001,1,0.13274614,10,0.001,2
maes,threshold_reset,bbob_f003_i80_d02,2,220.08637877218084,6001,1,0.12908984,10,0.001,2
maes,threshold_reset,bbob_f004_i01_d02,2,-456.25994997911243,6001,1,0.13028332,10,0.001,2
maes,threshold_reset,bbob_f004_i02_d02,2,129.09684444506993,6001,1,0.13036266,10,0.001,2
maes,threshold_reset,bbob_f004_i03_d02,2,136.21905503144274,6001,1,0.12890289,10,0.001,2
maes,threshold_reset,bbob_f004_i04_d02,2,26.559659709688763,6001,1,0.13270024,10,0.001,2
maes,threshold_reset,bbob_f004_i05_d02,2,342.98193554014637,6001,1,0.13344738,10,0.001,2
maes,threshold_reset,bbob_f004_i71_d02,2,9.47718506830931,6001,1,0.13359398,10,0.001,2
maes,threshold_reset,bbob_f004_i72_d02,2,388.04382158012874,6001,1,0.13529776,10,0.001,2
maes,threshold_reset,bbob_f004_i73_d02,2,305.80440399398736,6001,1,0.13605191,10,0.001,2
maes,threshold_reset,bbob_f004_i74_d02,2,7.900968099712792,6001,1,0.13093651,10,0.001,2
maes,threshold_reset,bbob_f004_i75_d02,2,-52.150315984373705,6001,1,0.12855031,10,0.001,2
maes,threshold_reset,bbob_f004_i76_d02,2,17.54207942272285,6001,1,0.12794595,10,0.001,2
maes,threshold_reset,bbob_f004_i77_d02,2,161.06087897778482,6001,1,0.13046284,10,0.001,2
maes,threshold_reset,bbob_f004_i78_d02,2,18.936835065977125,6001,1,0.13731146,10,0.001,2
maes,threshold_reset,bbob_f004_i79_d02,2,151.21732629242436,6001,1,0.13872775,10,0.001,2
maes,threshold_reset,bbob_f004_i80_d02,2,68.96553279501175,6001,1,0.13564762,10,0.001,2
