optimizer,wrapper,problem_id,dimension,best_fitness,evaluations,sweep,time_one_iteration,param_evaluation_window,param_improvement_threshold,param_pop_increase_factor
maes,threshold_reset,bbob_f001_i01_d02,2,99.83021634016043,6001,1,0.12857686,10,1e-06,2
maes,threshold_reset,bbob_f001_i02_d02,2,396.35284782148346,6001,1,0.13256182,10,1e-06,2
maes,threshold_reset,bbob_f001_i03_d02,2,-216.17192557480772,6001,1,0.13117683,10,1e-06,2
maes,threshold_reset,bbob_f001_i04_d02,2,-145.2683335916695,6001,1,0.12944873,10,1e-06,2
maes,threshold_reset,bbob_f001_i05_d02,2,-21.46276023125426,6001,1,0.12644579,10,1e-06,2
maes,threshold_reset,bbob_f001_i71_d02,2,inf,6001,1,0.12663462,10,1e-06,2
maes,threshold_reset,bbob_f001_i72_d02,2,205.44983921518718,6001,1,0.12539105,10,1e-06,2
maes,threshold_reset,bbob_f001_i73_d02,2,-592.1118866922149,6001,1,0.12745807,10,1e-06,2
maes,threshold_reset,bbob_f001_i74_d02,2,-933.8142446126766,6001,1,0.12686021,10,1e-06,2
maes,threshold_reset,bbob_f001_i75_d02,2,5.244439567240683,6001,1,0.1311143,10,1e-06,2
maes,threshold_reset,bbob_f001_i76_d02,2,30.910187486371335,6001,1,0.12730598,10,1e-06,2
maes,threshold_reset,bbob_f001_i77_d02,2,356.2240844856601,6001,1,0.12614898,10,1e-06,2
maes,threshold_reset,bbob_f001_i78_d02,2,-474.86823604134736,6001,1,0.12916304,10,1e-06,2
maes,threshold_reset,bbob_f001_i79_d02,2,-953.4822600216119,6001,1,0.12721385,10,1e-06,2
maes,threshold_reset,bbob_f001_i80_d02,2,4.084491052734542,6001,1,0.12926703,10,1e-06,2
maes,threshold_reset,bbob_f002_i01_d02,2,64719.192160467624,6001,1,0.13172317,10,1e-06,2
maes,threshold_reset,bbob_f002_i02_d02,2,6451476.17046431,6001,1,0.13828419,10,1e-06,2
maes,threshold_reset,bbob_f002_i03_d02,2,inf,6001,1,0.12778681,10,1e-06,2
maes,threshold_reset,bbob_f002_i04_d02,2,40489959.13307072,6001,1,0.12966579,10,1e-06,2
maes,threshold_reset,bbob_f002_i05_d02,2,12250770.601388948,6001,1,0.13001471,10,1e-06,2
maes,threshold_reset,bbob_f002_i71_d02,2,36286267.38729443,6001,1,0.13411025,10,1e-06,2
maes,threshold_reset,bbob_f002_i72_d02,2,5116586.058799445,6001,1,0.13207248,10,1e-06,2
maes,threshold_reset,bbob_f002_i73_d02,2,19623356.29955497,6001,1,0.13086313,10,1e-06,2
maes,threshold_reset,bbob_f002_i74_d02,2,inf,6001,1,0.13038683,10,1e-06,2
maes,threshold_reset,bbob_f002_i75_d02,2,20899.120758232904,6001,1,0.13193371,10,1e-06,2
maes,threshold_reset,bbob_f002_i76_d02,2,391.80513211428695,6001,1,0.13055822,10,1e-06,2
maes,threshold_reset,bbob_f002_i77_d02,2,248103.51926960284,6001,1,0.13138378,10,1e-06,2
maes,threshold_reset,bbob_f002_i78_d02,2,inf,6001,1,0.131567,10,1e-06,2
maes,threshold_reset,bbob_f002_i79_d02,2,4068.352317739099,6001,1,0.13222352,10,1e-06,2
maes,threshold_reset,bbob_f002_i80_d02,2,2230265.4916653405,6001,1,0.13068663,10,1e-06,2
maes,threshold_reset,bbob_f003_i01_d02,2,-381.276972266587,6001,1,0.13062484,10,1e-06,2
maes,threshold_reset,bbob_f003_i02_d02,2,86.2978283432476,6001,1,0.13076331,10,1e-06,2
maes,threshold_reset,bbob_f003_i03_d02,2,376.1143546782915,6001,1,0.13203083,10,1e-06,2
maes,threshold_reset,bbob_f003_i04_d02,2,38.285357093921284,6001,1,0.12910054,10,1e-06,2
maes,threshold_reset,bbob_f003_i05_d02,2,247.70012341880633,6001,1,0.1378722,10,1e-06,2
maes,threshold_reset,bbob_f003_i71_d02,2,inf,6001,1,0.13344201,10,1e-06,2
maes,threshold_reset,bbob_f003_i72_d02,2,89.39517045411537,6001,1,0.12921865,10,1e-06,2
maes,threshold_reset,bbob_f003_i73_d02,2,346.04551481016443,6001,1,0.13155354,10,1e-06,2
maes,threshold_reset,bbob_f003_i74_d02,2,9.72038763595775,6001,1,0.12783281,10,1e-06,2
maes,threshold_reset,bbob_f003_i75_d02,2,148.12665541647232,6001,1,0.13025163,10,1e-06,2
maes,threshold_reset,bbob_f003_i76_d02,2,-569.656042002759,6001,1,0.13365554,10,1e-06,2
maes,threshold_reset,bbob_f003_i77_d02,2,360.17975699683274,6001,1,0.14217038,10,1e-06,2
maes,threshold_reset,bbob_f003_i78_d02,2,12.132020293901949,6001,1,0.13079501,10,1e-06,2
maes,threshold_reset,bbob_f003_i79_d02,2,144.89021517016016,6001,1,0.13218993,10,1e-06,2
maes,threshold_reset,bbob_f003_i80_d02,2,inf,6001,1,0.12973439,10,1e-06,2
maes,threshold_reset,bbob_f004_i01_d02,2,-325.36812855634514,6001,1,0.13196213,10,1e-06,2
maes,threshold_reset,bbob_f004_i02_d02,2,86.05447074579558,6001,1,0.13095069,10,1e-06,2
maes,threshold_reset,bbob_f004_i03_d02,2,120.6305847881562,6001,1,0.13217044,10,1e-06,2
maes,threshold_reset,bbob_f004_i04_d02,2,inf,6001,1,0.13052918,10,1e-06,2
maes,threshold_reset,bbob_f004_i05_d02,2,409.6688081023054,6001,1,0.1328328,10,1e-06,2
maes,threshold_reset,bbob_f004_i71_d02,2,-24.72553145642724,6001,1,0.13218039,10,1e-06,2
maes,threshold_reset,bbob_f004_i72_d02,2,179.65629449409647,6001,1,0.13113093,10,1e-06,2
maes,threshold_reset,bbob_f004_i73_d02,2,342.4645094406194,6001,1,0.13023604,10,1e-06,2
maes,threshold_reset,bbob_f004_i74_d02,2,92.62569111077498,6001,1,0.13082478,10,1e-06,2
maes,threshold_reset,bbob_f004_i75_d02,2,-7.822017922747804,6001,1,0.13372096,10,1e-06,2
maes,threshold_reset,bbob_f004_i76_d02,2,-602.4004651017206,6001,1,0.13222009,10,1e-06,2
maes,threshold_reset,bbob_f004_i77_d02,2,202.2209562790457,6001,1,0.12935275,10,1e-06,2
maes,threshold_reset,bbob_f004_i78_d02,2,191.46655541948044,6001,1,0.13184346,10,1e-06,2
maes,threshold_reset,bbob_f004_i79_d02,2,287.66559019957356,6001,1,0.13061475,10,1e-06,2
maes,threshold_reset,bbob_f004_i80_d02,2,190.87349088455215,6001,1,0.13667838,10,1e-06,2
maes,threshold_reset,bbob_f005_i01_d02,2,31.79663983303775,6001,1,0.12412081,10,1e-06,2
maes,threshold_reset,bbob_f005_i02_d02,2,688.8496627539291,6001,1,0.1260776,10,1e-06,2
maes,threshold_reset,bbob_f005_i03_d02,2,134.38329279834113,6001,1,0.12648418,10,1e-06,2
maes,threshold_reset,bbob_f005_i04_d02,2,950.767856281973,6001,1,0.1266089,10,1e-06,2
maes,threshold_reset,bbob_f005_i05_d02,2,-37.45,6001,1,0.1281933,10,1e-06,2
maes,threshold_reset,bbob_f005_i71_d02,2,5.060758025044649,6001,1,0.12558878,10,1e-06,2
maes,threshold_reset,bbob_f005_i72_d02,2,-175.7576810423056,6001,1,0.12716635,10,1e-06,2
maes,threshold_reset,bbob_f005_i73_d02,2,1068.6118253202048,6001,1,0.12643636,10,1e-06,2
maes,threshold_reset,bbob_f005_i74_d02,2,-182.1355090467755,6001,1,0.13207387,10,1e-06,2
maes,threshold_reset,bbob_f005_i75_d02,2,-63.213898546326234,6001,1,0.12973216,10,1e-06,2
maes,threshold_reset,bbob_f005_i76_d02,2,inf,6001,1,0.13250141,10,1e-06,2
maes,threshold_reset,bbob_f005_i77_d02,2,155.50949766450316,6001,1,0.1304472,10,1e-06,2
maes,threshold_reset,bbob_f005_i78_d02,2,inf,6001,1,0.12805499,10,1e-06,2
maes,threshold_reset,bbob_f005_i79_d02,2,49.69132852827694,6001,1,0.12625455,10,1e-06,2
maes,threshold_reset,bbob_f005_i80_d02,2,20.96368102489987,6001,1,0.12521987,10,1e-06,2
maes,threshold_reset,bbob_f006_i01_d02,2,35240.00690709889,6001,1,0.1295387,10,1e-06,2
maes,threshold_reset,bbob_f006_i02_d02,2,12140.23566600442,6001,1,0.13323774,10,1e-06,2
maes,threshold_reset,bbob_f006_i03_d02,2,-974.5634935113943,6001,1,0.13756982,10,1e-06,2
maes,threshold_reset,bbob_f006_i04_d02,2,261.06556318972855,6001,1,0.12944507,10,1e-06,2
maes,threshold_reset,bbob_f006_i05_d02,2,624.4713170522998,6001,1,0.12957616,10,1e-06,2
maes,threshold_reset,bbob_f006_i71_d02,2,141220.72988448825,6001,1,0.12994185,10,1e-06,2
maes,threshold_reset,bbob_f006_i72_d02,2,290.4682784220119,6001,1,0.12898001,10,1e-06,2
maes,threshold_reset,bbob_f006_i73_d02,2,9.585969183764632,6001,1,0.13081265,10,1e-06,2
maes,threshold_reset,bbob_f006_i74_d02,2,606.2275117437873,6001,1,0.1302853,10,1e-06,2
maes,threshold_reset,bbob_f006_i75_d02,2,33429.96433435363,6001,1,0.12887417,10,1e-06,2
