optimizer,wrapper,problem_id,dimension,best_fitness,evaluations,sweep,time_one_iteration,param_restart_interval,param_pop_increase_factor
maes,periodic_restart,bbob_f001_i01_d02,2,inf,6001,1,0.11370381,50,2
maes,periodic_restart,bbob_f001_i02_d02,2,inf,6001,1,0.11546675,50,2
maes,periodic_restart,bbob_f001_i03_d02,2,inf,6001,1,0.11385866,50,2
maes,periodic_restart,bbob_f001_i04_d02,2,inf,6001,1,0.1141641,50,2
maes,periodic_restart,bbob_f001_i05_d02,2,inf,6001,1,0.11500266,50,2
maes,periodic_restart,bbob_f001_i71_d02,2,inf,6001,1,0.11433178,50,2
maes,periodic_restart,bbob_f001_i72_d02,2,inf,6001,1,0.11338699,50,2
maes,periodic_restart,bbob_f001_i73_d02,2,inf,6001,1,0.11324877,50,2
maes,periodic_restart,bbob_f001_i74_d02,2,inf,6001,1,0.11290506,50,2
maes,periodic_restart,bbob_f001_i75_d02,2,inf,6001,1,0.11369563,50,2
maes,periodic_restart,bbob_f001_i76_d02,2,inf,6001,1,0.11309097,50,2
maes,periodic_restart,bbob_f001_i77_d02,2,inf,6001,1,0.11404662,50,2
maes,periodic_restart,bbob_f001_i78_d02,2,inf,6001,1,0.11305237,50,2
maes,periodic_restart,bbob_f001_i79_d02,2,inf,6001,1,0.11505344,50,2
maes,periodic_restart,bbob_f001_i80_d02,2,inf,6001,1,0.11503204,50,2
maes,periodic_restart,bbob_f002_i01_d02,2,inf,6001,1,0.11584257,50,2
maes,periodic_restart,bbob_f002_i02_d02,2,inf,6001,1,0.1164458,50,2
maes,periodic_restart,bbob_f002_i03_d02,2,inf,6001,1,0.11567244,50,2
maes,periodic_restart,bbob_f002_i04_d02,2,inf,6001,1,0.11666705,50,2
maes,periodic_restart,bbob_f002_i05_d02,2,inf,6001,1,0.11603671,50,2
maes,periodic_restart,bbob_f002_i71_d02,2,inf,6001,1,0.11641084,50,2
maes,periodic_restart,bbob_f002_i72_d02,2,inf,6001,1,0.11702086,50,2
maes,periodic_restart,bbob_f002_i73_d02,2,inf,6001,1,0.11558967,50,2
maes,periodic_restart,bbob_f002_i74_d02,2,inf,6001,1,0.11559293,50,2
maes,periodic_restart,bbob_f002_i75_d02,2,inf,6001,1,0.11633702,50,2
maes,periodic_restart,bbob_f002_i76_d02,2,inf,6001,1,0.11687309,50,2
maes,periodic_restart,bbob_f002_i77_d02,2,inf,6001,1,0.11630838,50,2
maes,periodic_restart,bbob_f002_i78_d02,2,inf,6001,1,0.11581352,50,2
maes,periodic_restart,bbob_f002_i79_d02,2,inf,6001,1,0.11600667,50,2
maes,periodic_restart,bbob_f002_i80_d02,2,inf,6001,1,0.11696746,50,2
maes,periodic_restart,bbob_f003_i01_d02,2,inf,6001,1,0.11717492,50,2
maes,periodic_restart,bbob_f003_i02_d02,2,inf,6001,1,0.1170002,50,2
