optimizer,wrapper,problem_id,dimension,best_fitness,evaluations,sweep,time_one_iteration,param_restart_interval,param_pop_increase_factor
maes,periodic_restart,bbob_f001_i01_d02,2,inf,6001,1,0.11276489,100,2
maes,periodic_restart,bbob_f001_i02_d02,2,inf,6001,1,0.11285299,100,2
maes,periodic_restart,bbob_f001_i03_d02,2,inf,6001,1,0.11659623,100,2
maes,periodic_restart,bbob_f001_i04_d02,2,inf,6001,1,0.11390301,100,2
maes,periodic_restart,bbob_f001_i05_d02,2,inf,6001,1,0.11491722,100,2
maes,periodic_restart,bbob_f001_i71_d02,2,inf,6001,1,0.11352345,100,2
maes,periodic_restart,bbob_f001_i72_d02,2,inf,6001,1,0.11358234,100,2
maes,periodic_restart,bbob_f001_i73_d02,2,inf,6001,1,0.11376673,100,2
maes,periodic_restart,bbob_f001_i74_d02,2,inf,6001,1,0.11290333,100,2
maes,periodic_restart,bbob_f001_i75_d02,2,inf,6001,1,0.11343555,100,2
maes,periodic_restart,bbob_f001_i76_d02,2,inf,6001,1,0.11314799,100,2
maes,periodic_restart,bbob_f001_i77_d02,2,inf,6001,1,0.11286241,100,2
maes,periodic_restart,bbob_f001_i78_d02,2,inf,6001,1,0.11238435,100,2
maes,periodic_restart,bbob_f001_i79_d02,2,inf,6001,1,0.11268198,100,2
maes,periodic_restart,bbob_f001_i80_d02,2,inf,6001,1,0.11357233,100,2
maes,periodic_restart,bbob_f002_i01_d02,2,inf,6001,1,0.11528795,100,2
maes,periodic_restart,bbob_f002_i02_d02,2,inf,6001,1,0.1158545,100,2
maes,periodic_restart,bbob_f002_i03_d02,2,inf,6001,1,0.11572197,100,2
maes,periodic_restart,bbob_f002_i04_d02,2,inf,6001,1,0.11757769,100,2
maes,periodic_restart,bbob_f002_i05_d02,2,inf,6001,1,0.11511494,100,2
maes,periodic_restart,bbob_f002_i71_d02,2,inf,6001,1,0.11542306,100,2
maes,periodic_restart,bbob_f002_i72_d02,2,inf,6001,1,0.11497105,100,2
maes,periodic_restart,bbob_f002_i73_d02,2,inf,6001,1,0.11859417,100,2
maes,periodic_restart,bbob_f002_i74_d02,2,inf,6001,1,0.11536768,100,2
maes,periodic_restart,bbob_f002_i75_d02,2,inf,6001,1,0.11546271,100,2
maes,periodic_restart,bbob_f002_i76_d02,2,inf,6001,1,0.1153993,100,2
maes,periodic_restart,bbob_f002_i77_d02,2,inf,6001,1,0.11590357,100,2
maes,periodic_restart,bbob_f002_i78_d02,2,inf,6001,1,0.11678963,100,2
maes,periodic_restart,bbob_f002_i79_d02,2,inf,6001,1,0.11706048,100,2
maes,periodic_restart,bbob_f002_i80_d02,2,inf,6001,1,0.11475763,100,2
maes,periodic_restart,bbob_f003_i01_d02,2,inf,6001,1,0.11688644,100,2
maes,periodic_restart,bbob_f003_i02_d02,2,inf,6001,1,0.11658044,100,2
maes,periodic_restart,bbob_f003_i03_d02,2,inf,6001,1,0.11611919,100,2
maes,periodic_restart,bbob_f003_i04_d02,2,inf,6001,1,0.11656318,100,2
maes,periodic_restart,bbob_f003_i05_d02,2,inf,6001,1,0.11646194,100,2
maes,periodic_restart,bbob_f003_i71_d02,2,inf,6001,1,0.11680301,100,2
maes,periodic_restart,bbob_f003_i72_d02,2,inf,6001,1,0.11625162,100,2
maes,periodic_restart,bbob_f003_i73_d02,2,inf,6001,1,0.11659573,100,2
maes,periodic_restart,bbob_f003_i74_d02,2,inf,6001,1,0.11666172,100,2
maes,periodic_restart,bbob_f003_i75_d02,2,inf,6001,1,0.11766746,100,2
maes,periodic_restart,bbob_f003_i76_d02,2,inf,6001,1,0.11603383,100,2
maes,periodic_restart,bbob_f003_i77_d02,2,inf,6001,1,0.11643662,100,2
maes,periodic_restart,bbob_f003_i78_d02,2,inf,6001,1,0.11675661,100,2
maes,periodic_restart,bbob_f003_i79_d02,2,inf,6001,1,0.11676898,100,2
maes,periodic_restart,bbob_f003_i80_d02,2,inf,6001,1,0.1180613,100,2
maes,periodic_restart,bbob_f004_i01_d02,2,inf,6001,1,0.11639045,100,2
maes,periodic_restart,bbob_f004_i02_d02,2,inf,6001,1,0.11768842,100,2
maes,periodic_restart,bbob_f004_i03_d02,2,inf,6001,1,0.11663047,100,2
maes,periodic_restart,bbob_f004_i04_d02,2,inf,6001,1,0.11694645,100,2
maes,periodic_restart,bbob_f004_i05_d02,2,inf,6001,1,0.11628432,100,2
maes,periodic_restart,bbob_f004_i71_d02,2,inf,6001,1,0.11747062,100,2
maes,periodic_restart,bbob_f004_i72_d02,2,inf,6001,1,0.11564485,100,2
maes,periodic_restart,bbob_f004_i73_d02,2,inf,6001,1,0.11745931,100,2
maes,periodic_restart,bbob_f004_i74_d02,2,inf,6001,1,0.11594894,100,2
maes,periodic_restart,bbob_f004_i75_d02,2,inf,6001,1,0.11694939,100,2
maes,periodic_restart,bbob_f004_i76_d02,2,inf,6001,1,0.1166259,100,2
maes,periodic_restart,bbob_f004_i77_d02,2,inf,6001,1,0.1168567,100,2
maes,periodic_restart,bbob_f004_i78_d02,2,inf,6001,1,0.11590418,100,2
