optimizer,wrapper,problem_id,dimension,best_fitness,evaluations,sweep,time_one_iteration
cmaes,dummy,bbob_f001_i01_d02,2,79.48,6001,1,0.15032432
cmaes,dummy,bbob_f001_i02_d02,2,394.48,6001,1,0.14859327
cmaes,dummy,bbob_f001_i03_d02,2,-247.11,6001,1,0.14869588
cmaes,dummy,bbob_f001_i04_d02,2,-152.04,6001,1,0.14804365
cmaes,dummy,bbob_f001_i05_d02,2,-25.25,6001,1,0.155581
cmaes,dummy,bbob_f001_i71_d02,2,183.01,6001,1,0.14710534
cmaes,dummy,bbob_f001_i72_d02,2,183.52,6001,1,0.14876904
cmaes,dummy,bbob_f001_i73_d02,2,-593.84,6001,1,0.14909143
cmaes,dummy,bbob_f001_i74_d02,2,-1000.0,6001,1,0.14818679
cmaes,dummy,bbob_f001_i75_d02,2,-25.31,6001,1,0.14798506
cmaes,dummy,bbob_f001_i76_d02,2,22.28,6001,1,0.14987711
cmaes,dummy,bbob_f001_i77_d02,2,356.14,6001,1,0.14788489
cmaes,dummy,bbob_f001_i78_d02,2,-475.7,6001,1,0.15004212
cmaes,dummy,bbob_f001_i79_d02,2,-1000.0,6001,1,0.14966471
cmaes,dummy,bbob_f001_i80_d02,2,-41.58,6001,1,0.14900309
cmaes,dummy,bbob_f002_i01_d02,2,-209.88,6001,1,0.14540928
cmaes,dummy,bbob_f002_i02_d02,2,-92.09,6001,1,0.15175616
cmaes,dummy,bbob_f002_i03_d02,2,-87.89,6001,1,0.1526611
cmaes,dummy,bbob_f002_i04_d02,2,320.19,6001,1,0.1523703
cmaes,dummy,bbob_f002_i05_d02,2,-104.24,6001,1,0.14958738
cmaes,dummy,bbob_f002_i71_d02,2,-67.85,6001,1,0.14953682
cmaes,dummy,bbob_f002_i72_d02,2,-363.98,6001,1,0.14756839
cmaes,dummy,bbob_f002_i73_d02,2,-18.65,6001,1,0.14785328
cmaes,dummy,bbob_f002_i74_d02,2,174.92,6001,1,0.14814688
cmaes,dummy,bbob_f002_i75_d02,2,-565.96,6001,1,0.14762477
