optimizer,wrapper,problem_id,dimension,best_fitness,evaluations,sweep,time_one_iteration,param_evaluation_window,param_improvement_threshold,param_pop_increase_factor
maes,threshold_reset,bbob_f001_i01_d02,2,87.62931703628226,6001,1,0.12304107,20,0.001,2
maes,threshold_reset,bbob_f001_i02_d02,2,419.86219057815293,6001,1,0.12725653,20,0.001,2
maes,threshold_reset,bbob_f001_i03_d02,2,-190.98924008492472,6001,1,0.12799785,20,0.001,2
maes,threshold_reset,bbob_f001_i04_d02,2,-144.08482647521407,6001,1,0.12500468,20,0.001,2
maes,threshold_reset,bbob_f001_i05_d02,2,-18.190419836474216,6001,1,0.12896097,20,0.001,2
maes,threshold_reset,bbob_f001_i71_d02,2,238.96396427542652,6001,1,0.12626914,20,0.001,2
maes,threshold_reset,bbob_f001_i72_d02,2,216.59060656952477,6001,1,0.12788672,20,0.001,2
maes,threshold_reset,bbob_f001_i73_d02,2,-569.2253177123306,6001,1,0.12593205,20,0.001,2
maes,threshold_reset,bbob_f001_i74_d02,2,inf,6001,1,0.12346504,20,0.001,2
maes,threshold_reset,bbob_f001_i75_d02,2,-24.238734520794615,6001,1,0.12853798,20,0.001,2
maes,threshold_reset,bbob_f001_i76_d02,2,61.61789778972245,6001,1,0.12523419,20,0.001,2
maes,threshold_reset,bbob_f001_i77_d02,2,363.803121353185,6001,1,0.12457502,20,0.001,2
maes,threshold_reset,bbob_f001_i78_d02,2,-458.1932469471819,6001,1,0.13071861,20,0.001,2
maes,threshold_reset,bbob_f001_i79_d02,2,-997.1439410455566,6001,1,0.1240272,20,0.001,2
maes,threshold_reset,bbob_f001_i80_d02,2,-17.254831475279396,6001,1,0.1261547,20,0.001,2
maes,threshold_reset,bbob_f002_i01_d02,2,-174.4877652865596,6001,1,0.13153671,20,0.001,2
maes,threshold_reset,bbob_f002_i02_d02,2,2908059.9161844733,6001,1,0.13053519,20,0.001,2
maes,threshold_reset,bbob_f002_i03_d02,2,6443294.999592166,6001,1,0.13014273,20,0.001,2
maes,threshold_reset,bbob_f002_i04_d02,2,67715.64627011129,6001,1,0.12980328,20,0.001,2
maes,threshold_reset,bbob_f002_i05_d02,2,42267637.672323,6001,1,0.12775465,20,0.001,2
maes,threshold_reset,bbob_f002_i71_d02,2,22285436.464742046,6001,1,0.1230237,20,0.001,2
maes,threshold_reset,bbob_f002_i72_d02,2,2910178.3632499985,6001,1,0.12292781,20,0.001,2
maes,threshold_reset,bbob_f002_i73_d02,2,12373953.985724665,6001,1,0.1245552,20,0.001,2
maes,threshold_reset,bbob_f002_i74_d02,2,20554.352686820417,6001,1,0.12687876,20,0.001,2
maes,threshold_reset,bbob_f002_i75_d02,2,7375907.659379821,6001,1,0.12602409,20,0.001,2
maes,threshold_reset,bbob_f002_i76_d02,2,975.3796698559255,6001,1,0.12774336,20,0.001,2
maes,threshold_reset,bbob_f002_i77_d02,2,39566.51461485672,6001,1,0.12501518,20,0.001,2
maes,threshold_reset,bbob_f002_i78_d02,2,-555.9988508340209,6001,1,0.1270636,20,0.001,2
maes,threshold_reset,bbob_f002_i79_d02,2,701270.6596298832,6001,1,0.12795455,20,0.001,2
maes,threshold_reset,bbob_f002_i80_d02,2,10423.806174557561,6001,1,0.12904597,20,0.001,2
maes,threshold_reset,bbob_f003_i01_d02,2,inf,6001,1,0.13511147,20,0.001,2
maes,threshold_reset,bbob_f003_i02_d02,2,97.11055418625827,6001,1,0.12977485,20,0.001,2
